BH76,6.88,12308.74,0
cI7z,1.72,12327.09,0
SpVi,513.72,12321.84,1
xXkI,5.18,12313.98,0
t5nO,3.77,12329.71,0
7DOp,3.32,12361.16,0
eltj,2.71,12363.78,3
ElEl,2.92,12342.81,0
nuk2,4.22,12355.92,0
D6aC,3.18,12311.36,0
BtJt,3.53,12316.6,0
yvMO,3807.64,12363.78,9
JQxH,2864.98,12410.97,6
IrTo,1.14,12324.47,0
bcyn,478.51,12324.46,1
DEMM,1431.55,12410.97,3
xsec,1.63,12376.89,0
hzgM,1.32,12306.12,0
v3Hf,1.24,12387.37,0
FVZ0,1.25,12319.22,0
xb15,1.92,12408.35,0
NcsU,3.21,12371.65,0
Dp1Q,1433.17,12363.78,3
Nn71,1.52,12410.97,0
TjHu,2.72,12400.48,0
xwMg,1.49,12369.02,0
6yjw,1.79,12337.57,0
HddN,2.64,12358.54,0
xfR4,1.66,12353.3,0
qjvc,1.3,12350.68,0
zeMO,4.8,12389.99,0
93OA,1.7,12363.78,0
IKul,1.26,12348.05,0
z1Og,6.95,12345.43,0
2gCA,952.78,12324.47,2
rXUz,2.93,12374.27,0
j7D6,4.62,12334.95,0
bwMQ,3.82,12332.33,0
Ll45,1.53,12340.19,0
dlN8,1.1,12384.75,0
BZrS,2.48,12382.13,0
VfWU,3.81,12379.51,0
9Pbe,3.31,12403.1,0
rPRY,4.83,12405.73,0
4m3u,2.95,12395.24,0
Jlce,1.49,12392.62,0
izKt,12.68,12397.86,0
UXTa,1906.52,12324.47,4
HDPI,477.11,12410.97,1
xqNe,12.58,12410.97,0

