DPPo,1.39,36.45,6
GOYF,0.63,36.46,7
Y0GO,0.24,36.93,9
fAv5,1.38,36.5,7
wpmv,0.37,37.02,6
VUFE,0.24,36.46,3
t1ir,0.16,36.83,17
n2eL,0.3,36.82,7
LyPP,0.11,37.03,3
OmKR,0.0,36.67,0
NuYt,0.01,36.92,3
3KQz,1.69,36.48,15
YhNe,0.45,36.57,10
Yfz9,0.24,36.47,6
tmZ5,0.15,36.75,3
Etvg,0.09,36.99,4
d67c,0.22,36.8,6
9bIR,0.22,36.48,4
Q34O,2.32,36.63,8
pAEx,0.1,36.6,3
M6Mr,0.43,36.51,2
4UgF,0.01,36.87,1
8Jw2,0.13,36.77,9
vBGO,0.09,37.09,3
sow7,1.13,37.03,2
donZ,0.34,36.49,6
ZXfI,0.03,36.78,1
B6Lp,1.53,36.57,5
TWFP,0.01,36.84,0
5Sl2,0.01,37.04,4
RyNa,3.08,37.0,11
xDlL,3.16,37.09,9
drR6,0.12,36.56,5
Coc5,1.6,36.62,6
uGCV,0.01,36.86,0
gOKH,0.34,36.63,3
UaIp,0.0,36.86,2
XobP,1.37,37.01,6
TP8O,0.04,37.1,3
hwfO,0.11,36.58,4
GuTb,0.36,36.74,6
W9Jy,0.48,36.87,8
Otno,2.18,36.88,4
CeKC,0.02,36.68,1
t67T,0.12,36.95,3
mfCh,0.04,36.58,3
BciX,0.15,36.99,2
K3H8,0.02,36.92,10
6E3m,0.03,36.91,1
GVHs,0.27,36.68,9
GQtg,0.49,36.6,10
VM2e,2.53,37.03,7
kQAA,4.74,37.01,16
Dnhl,1.16,36.91,14
1SpY,0.18,36.72,2
AuCR,0.27,36.65,6
pGfX,0.61,36.85,9
zIrt,0.14,36.96,3
gtOv,0.1,37.06,4
7sxE,0.33,36.69,8
osA8,0.01,36.89,3
DCCr,0.88,37.05,8
F9UP,0.03,36.69,2
JQJl,0.24,36.9,8
4FQu,0.28,37.04,6
7bfe,0.11,36.7,2
VMGR,1.34,36.98,6
gfq2,0.15,37.0,1
HW9h,0.1,36.73,1
Ppb5,3.19,37.0,7
CIV5,2.07,36.97,6
lAQy,0.02,36.7,2
zsgT,0.0,37.01,1
yK6V,1.37,36.95,16
