dev_id,active_time,uptime,collisions
wjoV,1.41,38.64,11
RjDF,3.43,38.61,10
sCex,1.99,39.24,25
BUzX,0.03,39.77,12
qujl,0.02,39.22,5
49JA,0.82,38.69,14
5XAT,5.35,39.92,30
L5yT,1.86,38.6,12
E95J,1.01,40.58,11
Q19a,0.55,38.65,3
fEni,0.44,38.67,17
VMZe,3.79,38.85,11
ViD1,0.14,38.72,2
s362,0.0,40.58,10
Kj3C,2.01,40.49,8
Dzqr,0.12,39.76,5
llF5,0.93,39.68,19
GWHw,2.36,38.73,16
aN09,0.17,38.93,13
tNRr,0.09,40.42,11
oGeh,0.38,38.7,10
jQUH,0.26,39.0,8
MkRn,1.58,38.9,13
6ueR,1.26,40.08,6
NC6d,0.01,38.74,9
u6Dn,0.13,39.06,3
lYm3,0.81,38.95,9
8v2f,0.07,38.71,4
GtjM,0.93,38.93,22
n3Qj,0.11,39.01,4
IaEH,0.0,40.42,7
oAGL,1.73,38.8,12
LfWK,0.9,39.06,8
YBdb,2.01,39.11,18
Fb0b,0.21,38.79,6
kOgc,0.08,39.07,5
Y48D,0.93,39.28,9
weWY,0.63,39.67,5
1A7M,1.23,39.15,9
UleS,0.26,39.16,8
0IyN,0.17,39.64,8
AI9M,0.03,38.79,11
haot,0.0,39.52,7
dwaL,1.01,39.68,11
tOMc,0.28,39.19,8
4Nbu,0.03,39.05,10
Hi6K,0.19,38.95,2
7QGZ,1.75,39.31,13
gldp,1.68,39.27,7
bqYs,0.05,38.97,6
fiX5,0.17,39.94,10
1H4D,0.09,39.34,4
KLf0,0.29,39.32,18
0rtR,0.87,39.11,19
MKj9,0.28,39.95,8
twjS,3.73,39.42,29
AKjI,3.07,39.34,27
QM90,0.33,39.12,11
2cHF,2.61,39.4,28
CAJZ,0.19,39.45,14
B4fa,0.23,39.79,5
NXhQ,0.8,40.0,13
b425,1.03,39.49,9
ZpuJ,0.05,39.44,8
twwj,0.4,39.27,6
8Nrt,2.64,39.44,16
DUHS,0.2,39.49,9
ujgM,0.4,39.87,14
GIf7,0.13,40.17,3
QtmV,0.0,39.52,2
H3gh,0.41,39.56,9
emQN,0.14,39.37,10
shbU,0.56,39.47,16
ULIi,0.01,39.61,9
Po1l,0.78,39.88,19
vPjF,0.03,40.37,1
pIA5,0.8,39.55,16
ZkLa,0.07,39.63,5
39wP,3.26,39.56,17
Vr7o,0.33,39.54,21
kZAQ,0.76,39.83,21
2Ezm,0.12,39.88,11
ZpKm,0.06,40.39,8
ZhJd,3.67,39.69,15
HsnL,0.01,39.63,3
qzFJ,1.54,39.57,18
KnmK,0.35,39.62,25
zumY,0.27,39.86,12
hmHB,0.2,39.9,13
iQb6,3.36,40.45,23
5VPz,1.76,40.04,19
vEE5,1.13,39.71,12
2MrQ,0.1,39.7,1
VzKb,1.24,39.75,12
HS6m,0.15,40.0,5
RqYZ,3.57,40.01,20
s69z,0.15,40.46,8
JOCn,2.29,40.07,26
z19c,1.3,39.76,18
RMrD,4.87,39.77,17
wMLP,0.37,39.81,3
twBq,0.21,40.13,20
Wtmo,0.25,40.07,9
p54u,0.0,40.5,12
qbfW,0.0,40.11,3
D60i,0.19,39.99,23
COXf,0.11,39.83,11
0FPA,0.86,39.89,10
icj5,0.39,40.31,8
zu0R,0.17,40.12,10
D4GT,0.41,40.52,8
vkzc,0.06,40.12,0
lV1U,0.11,39.84,1
yt4V,0.49,40.08,14
IQR2,0.6,40.1,6
krq2,1.44,40.4,10
54Uo,0.41,40.15,8
3qK6,3.54,40.52,10
I59z,0.36,40.26,3
I62C,0.07,40.19,4
QEtF,1.72,39.84,10
uekn,0.18,40.29,10
xJ1M,1.05,40.5,13
5DDw,1.23,40.53,18
AXqF,0.34,40.24,5
wAuh,0.05,40.3,0
8Q1p,1.65,40.22,21
IIKg,1.32,39.95,11
e0cN,1.84,40.51,34
lBQb,0.85,40.32,8
1R8l,1.83,40.26,24
80Dl,1.21,40.38,30
ji7G,0.08,40.24,10
6HgX,3.03,40.35,31
VOBQ,3.12,40.56,12
m5HE,0.01,39.98,10
i1Pg,0.16,40.27,6
bSbL,0.05,39.26,4
pPaZ,0.14,40.43,5
ulv8,1.27,40.32,15
gnDN,1.28,40.58,8
6sSn,0.01,40.4,3
aYgK,1.04,40.02,8
Xyuu,0.19,40.28,15
gpAg,0.03,40.54,12
S8uR,1.83,40.34,11
jWAB,0.18,40.43,6
NOuk,2.21,40.14,7
Ie7m,0.0,40.36,5
jYTt,1.08,40.57,13
EFFr,2.48,40.55,20
b7E8,0.33,40.35,6
fUtb,0.07,40.44,13
QVuh,1.12,40.2,15
dC1h,0.01,40.41,5
o2ai,0.01,40.38,1
MdOK,2.16,40.52,7
gn7T,0.47,40.2,7
FPSm,3.42,40.5,16
t1Az,0.01,40.54,7
jWjU,0.33,39.26,4
0qrk,0.1,40.41,12
dP8l,0.07,40.58,8
93cG,0.1,40.25,8
