id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
5617,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:01:20.707,866900000,12,14,901,4/5,125000,111115,JqwT
5618,"",[],34378,t,f,t,2020-04-15 00:01:27.881,866900000,12,15,1032,4/5,125000,111119,DCAh
5619,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:01:27.915,866900000,12,15,1032,4/5,125000,111117,gOIP
5620,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:01:28.194,866900000,12,15,1032,4/5,125000,111118,vpYF
5621,"",[],34378,t,f,t,2020-04-15 00:01:30.917,866900000,12,15,1032,4/5,125000,111112,e7wK
5622,"",[],34509,t,f,t,2020-04-15 00:01:34.464,866900000,12,15,901,4/5,125000,111112,S0QC
5623,"",[],34509,t,f,t,2020-04-15 00:01:45.174,866900000,12,15,901,4/5,125000,111116,S0QC
5624,"","[{""sf"":12,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:01:46.273,866900000,12,15,1032,4/5,125000,111115,r9AE
5625,"",[],34509,t,f,t,2020-04-15 00:01:47.218,866900000,12,15,901,4/5,125000,111119,O397
5626,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:01:47.601,866900000,12,15,901,4/5,125000,111116,vf2F
5627,"",[],34378,t,f,t,2020-04-15 00:01:51.455,866900000,12,15,1032,4/5,125000,111117,O397
5628,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:01:52.409,866900000,12,15,1032,4/5,125000,111118,tu9c
5629,"",[],34378,t,f,t,2020-04-15 00:01:59.303,866900000,12,15,1032,4/5,125000,111119,HuTt
5630,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:02:01.63,866900000,12,15,901,4/5,125000,111118,GT96
5631,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:02:01.846,866900000,12,15,1032,4/5,125000,111119,GT96
5632,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:02:02.398,866900000,12,15,1032,4/5,125000,111117,K33r
5633,"",[],34509,t,f,t,2020-04-15 00:02:04.408,866900000,12,15,901,4/5,125000,111118,e7wK
5634,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:02:05.375,866900000,12,15,901,4/5,125000,111111,F1pJ
5635,"","[{""sf"":7,""power"":8,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:02:06.113,866900000,12,15,1032,4/5,125000,111115,Nrzl
5636,"","[{""sf"":12,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:02:12.233,866900000,12,15,1032,4/5,125000,111115,1giM
5637,"",[],34509,t,f,t,2020-04-15 00:02:18.053,866900000,12,15,901,4/5,125000,111113,UTPN
5638,"",[],34509,t,f,t,2020-04-15 00:02:19.552,866900000,12,14,901,4/5,125000,111111,UdRB
5639,"",[],34509,t,f,t,2020-04-15 00:02:22.016,866900000,12,15,901,4/5,125000,111114,L2rY
5640,"",[],34378,t,f,t,2020-04-15 00:02:22.53,866900000,12,15,1032,4/5,125000,111114,1giM
5641,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:02:24.083,866900000,12,15,901,4/5,125000,111112,5chw
5642,"",[],34509,t,f,t,2020-04-15 00:02:24.278,866900000,12,14,901,4/5,125000,111118,UdRB
5643,"",[],34509,t,f,t,2020-04-15 00:02:25.791,866900000,12,15,901,4/5,125000,111117,e7wK
5644,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:02:26.481,866900000,12,15,1032,4/5,125000,111118,RdtA
5645,"",[],34509,t,f,t,2020-04-15 00:02:28.042,866900000,12,15,901,4/5,125000,111116,UeXg
5646,"",[],34509,t,f,t,2020-04-15 00:02:30.424,866900000,12,15,901,4/5,125000,111112,1giM
5647,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:02:35.426,866900000,12,15,901,4/5,125000,111117,YlTC
5648,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:02:36.147,866900000,12,15,901,4/5,125000,111112,RdtA
5649,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:02:37.501,866900000,12,15,1032,4/5,125000,111119,K77z
5650,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:02:37.956,866900000,12,15,1032,4/5,125000,111117,F3ab
5651,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:02:41.375,866900000,12,15,901,4/5,125000,111115,UMSW
5652,"",[],34509,t,f,t,2020-04-15 00:02:42.793,866900000,12,15,901,4/5,125000,111111,6cKp
5653,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:02:52.3,866900000,12,15,901,4/5,125000,111114,vggs
5654,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:02:54.528,866900000,12,15,901,4/5,125000,111111,PMSX
5655,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:02:54.646,866900000,12,15,1032,4/5,125000,111115,RdtA
5656,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:02:57.063,866900000,12,15,1032,4/5,125000,111116,UMSW
5657,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:02:58.777,866900000,12,15,901,4/5,125000,111118,PMSX
5658,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:01.22,866900000,12,15,901,4/5,125000,111112,xKUD
5659,"","[{""sf"":11,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:01.611,866900000,12,15,901,4/5,125000,111120,mKRQ
5660,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:06.763,866900000,12,15,901,4/5,125000,111111,7C4W
5661,"",[],34509,t,f,t,2020-04-15 00:03:08.915,866900000,12,15,901,4/5,125000,111120,UeXg
5662,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:11.152,866900000,12,15,901,4/5,125000,111118,7C4W
5663,"",[],34509,t,f,t,2020-04-15 00:03:11.65,866900000,12,15,901,4/5,125000,111112,vj7U
5664,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:03:12.931,866900000,12,15,1032,4/5,125000,111119,7C4W
5665,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:03:14.041,866900000,12,14,1032,4/5,125000,111112,OvGw
5666,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:03:14.672,866900000,12,15,1032,4/5,125000,111117,8XFo
5667,"","[{""sf"":10,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:15.223,866900000,12,14,901,4/5,125000,111120,MXgK
5668,"","[{""sf"":12,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:16.863,866900000,12,15,901,4/5,125000,111118,9SQJ
6203,"",[],33346,t,f,t,2020-04-15 00:19:06.161,866900000,12,15,1032,4/5,125000,111115,wj5T
5669,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:03:19.674,866900000,12,15,1032,4/5,125000,111111,60Sf
5670,"",[],34509,t,f,t,2020-04-15 00:03:20.211,866900000,12,15,901,4/5,125000,111116,9SQJ
5671,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:22.745,866900000,12,15,901,4/5,125000,111118,8XFo
5672,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:23.237,866900000,12,15,901,4/5,125000,111112,jdgJ
5673,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:23.873,866900000,12,14,901,4/5,125000,111119,OvGw
5674,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:26.889,866900000,12,15,901,4/5,125000,111112,CAI4
5675,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:27.184,866900000,12,15,901,4/5,125000,111117,jkfR
5676,"",[],34378,t,f,t,2020-04-15 00:03:30.085,866900000,12,15,1032,4/5,125000,111115,vj7U
5677,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:03:30.611,866900000,12,15,1032,4/5,125000,111115,8XFo
5678,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:32.083,866900000,12,14,901,4/5,125000,111114,OvGw
5679,"",[],34509,t,f,t,2020-04-15 00:03:36.251,866900000,12,15,901,4/5,125000,111117,L4EM
5680,"",[],34378,t,f,t,2020-04-15 00:03:36.646,866900000,12,15,1032,4/5,125000,111117,lHbI
5681,"",[],34509,t,f,t,2020-04-15 00:03:45.138,866900000,12,15,901,4/5,125000,111120,9IGE
5682,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:45.789,866900000,12,15,901,4/5,125000,111113,8XFo
5683,"",[],34509,t,f,t,2020-04-15 00:03:45.816,866900000,12,15,901,4/5,125000,111120,L4EM
