dev_id,active_time,uptime,collisions
xDlL,0.32,24.14,6
4UgF,0.9,24.15,7
dGjc,1.38,24.7,6
GVHs,0.33,24.61,8
4FQu,0.77,24.19,2
DzML,1.24,24.67,9
TP8O,0.69,24.59,7
d8gC,0.02,24.42,2
t67T,2.01,24.16,11
rHx7,0.03,24.73,2
d67c,0.21,24.08,3
BaJH,1.38,24.17,1
JQJl,0.73,24.09,7
CeKC,1.16,24.08,2
Otno,0.79,24.21,11
donZ,1.27,24.19,5
jFLq,0.11,24.27,2
6xvv,0.13,24.3,2
GQtg,0.47,24.29,2
B6Lp,0.11,24.4,4
qIMe,0.22,24.18,2
DCCr,0.25,24.23,3
lAQy,0.51,24.26,7
EINI,0.68,24.41,4
Etvg,0.2,24.31,2
AuCR,0.2,24.5,10
drR6,0.39,24.36,5
ZXfI,0.25,24.22,5
HW9h,0.16,24.27,4
XobP,0.11,24.28,1
zIrt,0.34,24.46,4
sow7,0.12,24.32,6
5J5y,0.09,24.61,2
3KQz,0.21,24.5,4
Y0GO,0.14,24.34,3
RyNa,0.01,24.43,2
4i6f,0.96,24.28,8
W9Jy,1.73,24.33,10
gOKH,0.07,24.41,4
rdBy,0.47,24.51,6
VM2e,0.13,24.58,2
oLKW,0.03,24.4,0
kQAA,0.52,24.52,4
9bIR,1.87,24.39,19
fAv5,0.89,24.44,8
5Igc,0.02,24.66,0
8Jw2,2.26,24.57,7
gtOv,0.03,24.43,0
pGfX,0.08,24.53,9
OFeD,0.01,24.74,1
Ppb5,1.04,24.68,4
hwfO,0.1,24.63,0
n2eL,0.14,24.47,2
YhNe,0.47,24.54,1
gfq2,0.03,24.65,3
0Rl6,2.01,24.7,6
LPcK,0.01,24.74,0
GOYF,0.95,24.47,4
UaIp,0.0,24.63,0
G5yk,0.36,24.64,3
fcVB,0.24,24.7,3
DPPo,0.25,24.71,2
CIZa,3.77,24.52,21
NuYt,0.02,24.64,1
BciX,0.44,24.53,5
vBGO,0.11,24.7,10
bL52,0.24,24.57,6
Dnhl,0.01,24.73,1
zRMn,2.34,24.73,13
oXBF,0.06,24.56,1
K3H8,1.48,24.58,10
VUFE,0.07,24.16,3
LyPP,2.68,24.45,20
mfCh,0.11,24.46,2
osA8,1.2,24.74,6
pAEx,0.51,24.72,4
7wPG,1.01,24.74,2
yK6V,0.91,24.59,6
1SpY,0.81,24.39,13
t1ir,0.59,24.48,11
GuTb,0.67,24.12,8
M6Mr,1.38,24.65,8
F9UP,3.15,24.68,9
kZ0D,0.87,24.69,11
OmKR,2.09,24.38,8
VMGR,0.18,24.51,5
Q34O,0.01,24.62,2
wpmv,0.05,24.69,3
TWFP,0.0,24.34,1
uGCV,0.28,24.67,4
5Sl2,0.06,24.71,5
7sxE,1.53,24.6,5
