nn66,0.03,12.76,0
MnU3,0.13,13.33,1
7lvb,0.02,12.94,0
OqbH,0.59,13.34,0
E2cD,0.01,13.2,0
NBiG,0.27,13.3,0
vTYy,3.33,13.31,0
VGHy,0.03,12.79,0
jLn5,0.02,12.77,0
L6YW,0.03,12.8,0
ojp7,0.03,12.83,1
Hh7f,0.02,12.76,0
EZ8c,0.02,12.95,0
tTo0,1.04,12.93,1
XPqS,0.02,13.08,0
g10F,0.03,12.82,0
8K3K,0.04,12.81,0
NFw6,0.02,12.83,0
o32G,0.03,12.96,0
9eTE,0.4,13.23,0
9pll,0.97,13.37,0
FEOW,0.03,12.84,0
xhil,0.02,12.82,0
ACG7,0.02,12.84,0
sFSK,0.0,13.18,0
jQ7Z,1.29,13.36,1
zcAF,0.02,12.88,1
GO2D,0.03,12.86,0
QQ9W,0.03,12.86,0
W4AS,2.36,13.25,0
t3w0,3.28,13.4,3
PHDA,0.02,12.88,1
hdbn,0.04,12.94,0
jiIo,0.01,12.92,1
fROn,3.55,13.38,0
cs1r,0.23,13.29,0
79S3,0.02,12.96,2
W9xS,0.01,13.19,0
3s1T,0.01,13.19,0
5B9q,0.02,12.92,0
rb8P,0.03,13.34,0
DY9f,0.01,13.05,0
BNrD,0.02,13.0,0
7aYk,0.02,13.01,0
J836,0.0,13.36,0
FFwK,1.67,13.39,0
usMx,0.01,13.16,0
r6y8,0.01,13.08,0
d6J1,0.45,13.37,0
AWlH,0.01,13.28,2
96VU,0.79,13.4,0
OXro,0.01,13.1,0
9AlE,0.01,13.27,0
jPTt,0.7,13.22,0
Qihc,3.47,13.4,3
cnKJ,1.77,13.35,0
hK3b,0.01,13.17,0
QymN,0.01,13.07,0
g8Cg,3.31,13.33,2
iOK8,2.98,13.4,4
3IZG,0.66,13.24,0
m9HG,0.01,13.11,1
zP04,0.01,13.1,0
FzQn,0.61,13.28,0
bG4K,0.01,13.01,0
BzNA,0.02,13.21,0
Y0EB,0.02,12.98,0
bnSu,0.07,13.3,0
X8Kn,0.01,13.09,0
NPuJ,0.01,13.32,0
w8zS,0.01,13.03,0
QQ5C,0.07,13.33,0
Oikg,0.02,12.97,0
oBLw,2.07,13.33,2
C7cC,0.01,12.98,0
WtAl,0.66,13.25,0
j6eI,2.8,13.4,1
c9Xk,0.01,13.22,0
AIj7,2.09,13.32,0
o6Hj,3.1,13.33,3
pW7M,0.07,13.29,0
bTFy,0.02,13.06,0
KlSz,0.01,13.04,0
0tGn,0.0,13.2,0
hYiS,0.01,13.17,1
6Qsl,0.01,13.04,1
iTGU,0.02,12.87,0
aK6J,0.02,12.79,0
