id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
44,MTI0LDEwMA==,11.11,-106.5,35954,t,2020-05-03 20:50:14.588,1,866100000,7,6,46,4/5,125000,0,1,111113,OnKb
45,NjIsMTAw,10.67,-66,35872,t,2020-05-03 20:50:15.992,1,866100000,9,15,128,4/5,125000,1,1,111112,HBsW
46,MTE3LDEwMA==,7.65,-70.7,35954,t,2020-05-03 20:50:20.16,1,866100000,7,6,46,4/5,125000,0,1,111113,fRCZ
47,NTYsMTAw,9.89,-79.9,35872,t,2020-05-03 20:50:22.004,1,866100000,9,15,128,4/5,125000,2,1,111112,7azr
48,MTE5LDEwMA==,9.13,-105.7,35954,t,2020-05-03 20:50:25.167,1,866100000,7,6,46,4/5,125000,0,1,111113,ZBvV
49,MTIxLDEwMA==,9.06,-82.9,35853,t,2020-05-03 20:50:27.014,1,866100000,9,15,147,4/5,125000,1,1,111112,4WgY
50,NTEsMTAw,7.1,-81.8,34067,t,2020-05-03 20:50:29.809,1,866900000,12,15,901,4/5,125000,1,2,111111,F3LY
51,ODcsMTAw,11.56,-97.9,35960,t,2020-05-03 20:50:30.746,1,866100000,7,6,40,4/5,125000,0,1,111113,zQhj
52,MTQ4LDEwMA==,10.71,-73.3,34968,t,2020-05-03 20:50:35.251,1,866900000,12,15,1032,4/5,125000,0,2,111113,Tl0z
53,ODEsMTAw,11.21,-93.7,35767,t,2020-05-03 20:50:37.603,1,866100000,10,15,233,4/5,125000,1,1,111112,h6Kv
54,MTUwLDEwMA==,9.54,-77.4,33936,t,2020-05-03 20:50:40.501,1,866900000,12,15,1032,4/5,125000,1,2,111111,34BL
55,MTI3LDEwMA==,8.92,-62.8,35954,t,2020-05-03 20:50:40.837,1,866100000,7,6,46,4/5,125000,0,1,111113,3h2U
56,MTM5LDEwMA==,10.63,-78.8,35734,t,2020-05-03 20:50:43.18,1,866100000,10,15,266,4/5,125000,1,1,111112,5Z0m
57,MTIzLDEwMA==,6.61,-62.1,35954,t,2020-05-03 20:50:45.83,1,866100000,7,6,46,4/5,125000,0,1,111113,6k7e
58,NjcsMTAw,10.11,-108.1,35767,t,2020-05-03 20:50:48.186,1,866100000,10,15,233,4/5,125000,1,1,111112,evXD
59,OTEsMTAw,8.53,-68,35960,t,2020-05-03 20:50:49.833,1,866100000,7,13,40,4/5,125000,0,1,111114,soL5
60,NTUsMTAw,7.95,-104.8,35099,t,2020-05-03 20:50:50.335,1,866900000,12,15,901,4/5,125000,0,2,111113,WAI2
61,NzEsMTAw,10.04,-86.2,35767,t,2020-05-03 20:50:53.757,1,866100000,10,15,233,4/5,125000,1,1,111112,BByP
62,NjksMTAw,9.47,-48.5,35960,t,2020-05-03 20:50:55.851,1,866100000,7,13,40,4/5,125000,0,1,111114,X43I
63,ODgsMTAw,9.46,-65.7,35960,t,2020-05-03 20:50:55.902,1,866100000,7,6,40,4/5,125000,0,1,111113,K44z
64,MTQzLDEwMA==,10.16,-39.7,35734,t,2020-05-03 20:50:59.331,1,866100000,10,15,266,4/5,125000,2,1,111112,2mY4
65,MTI4LDEwMA==,7.93,-91.8,35954,t,2020-05-03 20:51:00.865,1,866100000,7,13,46,4/5,125000,0,1,111114,OH5D
66,NjMsMTAw,7.01,-65.3,35960,t,2020-05-03 20:51:00.91,1,866100000,7,6,40,4/5,125000,0,1,111113,CCEA
67,OTksMTAw,11.07,-105.2,35767,t,2020-05-03 20:51:04.337,1,866100000,10,15,233,4/5,125000,1,1,111112,euVS
68,ODgsMTAw,10.48,-38.1,35960,t,2020-05-03 20:51:05.86,1,866100000,7,13,40,4/5,125000,0,1,111114,iU1v
69,NjksMTAw,8.87,-77.4,35960,t,2020-05-03 20:51:05.918,1,866100000,7,6,40,4/5,125000,0,1,111113,Imqb
70,OTUsMTAw,6.76,-55.5,35767,t,2020-05-03 20:51:09.91,1,866100000,10,15,233,4/5,125000,1,1,111112,wsdC
71,MTMyLDEwMA==,7.33,-58.1,35954,t,2020-05-03 20:51:10.875,1,866100000,7,13,46,4/5,125000,0,1,111114,Q07c
72,MTQ0LDEwMA==,11.26,-65.2,35954,t,2020-05-03 20:51:10.929,1,866100000,7,6,46,4/5,125000,0,1,111113,yiWx
73,NzAsMTAw,9.34,-50.1,35099,t,2020-05-03 20:51:15.554,1,866100000,12,13,901,4/5,125000,2,1,111112,F3LY
74,OTAsMTAw,8.35,-56.2,35960,t,2020-05-03 20:51:15.947,1,866100000,7,6,40,4/5,125000,0,1,111113,miRo
75,MTQ4LDEwMA==,11.32,-108.2,34968,t,2020-05-03 20:51:15.956,1,866900000,12,15,1032,4/5,125000,0,2,111114,eTme
76,MTUwLDEwMA==,10.29,-35.2,34968,t,2020-05-03 20:51:20.445,1,866900000,12,15,1032,4/5,125000,0,2,111113,O0pt
77,MTM1LDEwMA==,11.58,-96.4,35853,t,2020-05-03 20:51:21.122,1,866100000,9,15,147,4/5,125000,1,1,111112,9mFn
78,MTE0LDEwMA==,8.15,-37.3,35954,t,2020-05-03 20:51:21.524,1,866100000,7,5,46,4/5,125000,0,1,111114,5YWl
79,MTM3LDEwMA==,10.69,-70.2,35954,t,2020-05-03 20:51:26.013,1,866100000,7,6,46,4/5,125000,0,1,111113,XHtC
80,OTksMTAw,11.48,-66.6,35929,t,2020-05-03 20:51:26.132,1,866100000,8,15,71,4/5,125000,2,1,111112,34BL
81,MTE3LDEwMA==,8.82,-83.9,35954,t,2020-05-03 20:51:26.551,1,866100000,7,6,46,4/5,125000,0,1,111114,lVXj
82,MTM4LDEwMA==,6.89,-97.2,35954,t,2020-05-03 20:51:31.026,1,866100000,7,6,46,4/5,125000,0,1,111113,v216
83,NTEsMTAw,7.61,-52.1,35099,t,2020-05-03 20:51:31.204,1,866900000,12,15,901,4/5,125000,1,2,111112,GkmL
84,NjgsMTAw,10.11,-78.7,35960,t,2020-05-03 20:51:31.559,1,866100000,7,6,40,4/5,125000,0,1,111114,4lav
