dev_id,active_time,uptime,collisions
NXxB,1854.34,19797.96,44
tXqi,25.31,19751.64,28
QzjY,6723.08,19807.98,55
91UD,547.27,19762.44,26
tUHX,34.75,19810.36,28
HSHm,1273.91,19762.45,25
TOxm,865.87,19812.74,34
ImUx,94.25,19767.23,22
3mFZ,1354.72,19815.12,12
GkmL,168.27,19769.88,30
unJE,577.25,19823.03,15
34BL,13.21,19772.26,42
TYuc,2369.84,19823.04,20
9mFn,41.27,19774.94,33
YAqX,2.02,19830.7,14
euVS,758.8,19782.61,34
3HGr,1779.43,19836.02,22
2mY4,1860.17,19785.26,24
LteR,3467.74,19838.88,19
BByP,680.14,19787.9,41
sgOs,9.5,19444.95,16
evXD,80.32,19790.28,31
YCSM,2.41,19146.48,29
5Z0m,12.53,19792.93,55
4WgY,1654.99,19800.82,44
7azr,173.49,19800.82,29
pjdQ,29.18,19838.88,12
HBsW,792.62,19805.6,32
JJ5v,1260.4,19833.38,13
AV9T,69.36,19817.5,11
ZFT1,2334.44,19828.06,10
OBzA,1353.91,19823.04,11
Pqa9,2710.35,1407.86,15
Fkub,10.45,3428.31,12
8g2S,1021.84,1405.21,7
Q1fo,73.28,2421.0,17
GDH8,23.82,3015.75,1
eX5x,1005.52,3197.54,4
T2vq,16.39,3217.37,3
aLZQ,1011.16,3145.5,17
0qY5,48.61,2549.55,8
cd1H,3.16,3641.03,2
6T9J,530.38,3104.77,1
YCSM,1556.7,3127.5,26
xCZg,4.0,13690.66,28
Pqa9,2710.35,1407.86,15
Fkub,10.45,3428.31,12
8g2S,1021.84,1405.21,7
Q1fo,73.28,2421.0,17
GDH8,23.82,3015.75,1
eX5x,1005.52,3197.54,4
T2vq,16.39,3217.37,3
aLZQ,1011.16,3145.5,17
0qY5,48.61,2549.55,8
cd1H,3.16,3641.03,2
6T9J,530.38,3104.77,1
YCSM,1556.7,3127.5,26
