id,protocol_ver,max_power,channels_num,duty_cycle_refresh,lora_protocol,lora_protocol_ver,transmission_param_id,stat_model
111145,STIOT v 1.01,14,8,00:10:29,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111146,STIOT v 1.01,14,8,00:10:30,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111147,STIOT v 1.01,14,8,00:10:31,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111148,STIOT v 1.01,14,8,00:10:32,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111149,STIOT v 1.01,14,8,00:10:33,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111101,STIOT v 1.01,14,8,00:43:58,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111102,STIOT v 1.01,14,8,00:43:59,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111103,STIOT v 1.01,14,8,00:43:59,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111107,STIOT v 1.01,14,8,00:43:58,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111100,STIOT v 1.01,14,8,00:43:59,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
