id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
1661,"",[],35926,t,f,t,2020-04-14 01:30:37.521,866900000,7,15,40,4/5,125000,555555,6AEI
1662,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:30:48.336,866900000,7,15,40,4/5,125000,555555,eyXW
1663,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:31:08.815,866900000,7,15,40,4/5,125000,222222,2MA8
1664,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35900,t,f,t,2020-04-14 01:31:13.423,866900000,7,15,46,4/5,125000,444444,f0jO
1665,"",[],35926,t,f,t,2020-04-14 01:31:19.816,866900000,7,15,40,4/5,125000,666666,sFy7
1666,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:31:35.455,866900000,7,15,40,4/5,125000,111111,updg
1667,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:31:35.746,866900000,7,15,40,4/5,125000,333333,aCRz
1668,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:31:36.87,866900000,7,15,40,4/5,125000,BBBBBB,SIMr
1669,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:31:37.178,866900000,7,15,40,4/5,125000,222222,bBmT
1670,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35900,t,f,t,2020-04-14 01:31:40.562,866900000,7,15,46,4/5,125000,666666,lhnx
1671,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:31:43.096,866900000,7,14,40,4/5,125000,999999,n1cH
1672,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:31:47.714,866900000,7,15,40,4/5,125000,888888,RKsz
1673,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:31:49.175,866900000,7,14,40,4/5,125000,555555,gKHL
1674,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35900,t,f,t,2020-04-14 01:31:59.709,866900000,7,15,46,4/5,125000,222222,4068
1675,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:31:59.775,866900000,7,15,40,4/5,125000,555555,12cs
1676,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:32:03.908,866900000,7,15,40,4/5,125000,999999,En0f
1677,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",35900,t,f,t,2020-04-14 01:32:05.644,866900000,7,15,46,4/5,125000,444444,2JgJ
1678,"","[{""sf"":7,""power"":8,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:32:10.359,866900000,7,15,40,4/5,125000,555555,ct5n
1679,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",35900,t,f,t,2020-04-14 01:32:16.293,866900000,7,15,46,4/5,125000,111111,HXoE
1680,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:32:16.312,866900000,7,15,40,4/5,125000,444444,SIMr
1681,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:32:21.343,866900000,7,14,40,4/5,125000,666666,gu0i
1682,"","[{""sf"":7,""power"":8,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:32:23.067,866900000,7,15,40,4/5,125000,000000,rrzx
1683,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 01:32:24.384,866900000,7,15,40,4/5,125000,444444,Mx1S
1684,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",35900,t,f,t,2020-04-14 01:32:27.062,866900000,7,15,46,4/5,125000,111111,RRG0
1685,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35900,t,f,t,2020-04-14 01:32:28.564,866900000,7,15,46,4/5,125000,333333,Vz1w
