id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
44,MTQ2LDEwMA==,9.87,-97.7,34968,t,2020-04-14 20:54:02.398,1,866900000,12,15,1032,4/5,125000,0,1,111116,pAEx
45,NTMsMTAw,7.55,-77,35099,t,2020-04-14 20:54:06.214,1,866900000,12,15,901,4/5,125000,1,1,111117,pAEx
46,NTYsMTAw,8.81,-47.1,35099,t,2020-04-14 20:54:06.435,1,866900000,12,15,901,4/5,125000,0,1,111119,lXJx
47,MTQ5LDEwMA==,10.03,-38.3,34968,t,2020-04-14 20:54:07.262,1,866900000,12,15,1032,4/5,125000,2,1,111119,pAEx
48,NTEsMTAw,11.41,-87.4,35099,t,2020-04-14 20:54:07.392,1,866900000,12,15,901,4/5,125000,1,1,111120,En0f
49,NTEsMTAw,9.67,-52.9,35099,t,2020-04-14 20:54:07.936,1,866900000,12,15,901,4/5,125000,0,1,111111,Yfz9
50,NTMsMTAw,9.99,-84.8,35099,t,2020-04-14 20:54:11.688,1,866900000,12,15,901,4/5,125000,0,1,111117,jYTt
51,NTMsMTAw,9.78,-43.9,35099,t,2020-04-14 20:54:13.679,1,866900000,12,15,901,4/5,125000,0,1,111113,yNLs
52,NTIsMTAw,11.45,-52.1,35099,t,2020-04-14 20:54:13.86,1,866900000,12,15,901,4/5,125000,1,1,111118,jYTt
53,MTQ5LDEwMA==,11.66,-49.5,34968,t,2020-04-14 20:54:14.39,1,866900000,12,15,1032,4/5,125000,0,1,111118,0XJI
54,NTcsMTAw,7.41,-51.9,35099,t,2020-04-14 20:54:18.266,1,866900000,12,15,901,4/5,125000,1,1,111120,Yfz9
55,NTksMTAw,9.92,-49.7,35099,t,2020-04-14 20:54:23.273,1,866900000,12,15,901,4/5,125000,0,1,111117,xvVS
56,NTEsMTAw,9.26,-79.5,35099,t,2020-04-14 20:54:24.736,1,866900000,12,15,901,4/5,125000,0,1,111118,DPPo
57,NTgsMTAw,11.33,-101.7,35099,t,2020-04-14 20:54:24.876,1,866900000,12,15,901,4/5,125000,0,1,111116,M2oC
58,NTIsMTAw,9.1,-47,35099,t,2020-04-14 20:54:36.452,1,866900000,12,15,901,4/5,125000,0,1,111118,VOBQ
59,NTEsMTAw,9.39,-86.3,35099,t,2020-04-14 20:54:37.694,1,866900000,12,15,901,4/5,125000,0,1,111115,5Sl2
60,MTQ3LDEwMA==,11.57,-98.1,34968,t,2020-04-14 20:54:40.727,1,866900000,12,15,1032,4/5,125000,0,1,111113,oVtg
61,NTksMTAw,10.33,-60.1,35099,t,2020-04-14 20:54:42.213,1,866900000,12,15,901,4/5,125000,0,1,111114,H0y5
62,NTQsMTAw,7.33,-70.2,35099,t,2020-04-14 20:54:42.471,1,866900000,12,15,901,4/5,125000,1,1,111114,oVtg
63,NTAsMTAw,11.28,-47.5,35099,t,2020-04-14 20:54:43.489,1,866900000,12,15,901,4/5,125000,2,1,111115,oVtg
64,MTQ5LDEwMA==,10.04,-86.4,34968,t,2020-04-14 20:54:43.566,1,866900000,12,15,1032,4/5,125000,0,1,111112,vBGO
65,NTMsMTAw,8.43,-81,35099,t,2020-04-14 20:54:47.287,1,866900000,12,15,901,4/5,125000,0,1,111113,Gjr8
66,NTAsMTAw,10.81,-42,35099,t,2020-04-14 20:54:47.565,1,866900000,12,15,901,4/5,125000,1,1,111116,Gjr8
67,NTksMTAw,8.77,-56.7,35099,t,2020-04-14 20:54:48.361,1,866900000,12,15,901,4/5,125000,1,1,111117,H0y5
68,NTQsMTAw,8.76,-62.2,35099,t,2020-04-14 20:54:48.449,1,866900000,12,15,901,4/5,125000,1,1,111116,vBGO
69,NTksMTAw,8.32,-44.7,35099,t,2020-04-14 20:54:51.956,1,866900000,12,15,901,4/5,125000,2,1,111117,vBGO
70,NTQsMTAw,10.68,-96.5,35099,t,2020-04-14 20:54:53.682,1,866900000,12,15,901,4/5,125000,2,1,111120,H0y5
71,MTQ4LDEwMA==,9.85,-43.6,34968,t,2020-04-14 20:54:55.927,1,866900000,12,15,1032,4/5,125000,0,1,111111,7lH1
72,MTQ4LDEwMA==,8.96,-56.1,34968,t,2020-04-14 20:54:58.022,1,866900000,12,15,1032,4/5,125000,0,1,111114,fcVB
73,MTQ2LDEwMA==,8.74,-112.8,34968,t,2020-04-14 20:55:03.284,1,866900000,12,15,1032,4/5,125000,0,1,111112,jfGE
74,NTUsMTAw,7.48,-97.1,35099,t,2020-04-14 20:55:03.565,1,866900000,12,15,901,4/5,125000,1,1,111117,fcVB
75,MTQ5LDEwMA==,10.39,-92.7,34968,t,2020-04-14 20:55:04.324,1,866900000,12,15,1032,4/5,125000,1,1,111118,7lH1
76,NTYsMTAw,10.64,-51.8,35099,t,2020-04-14 20:55:05.135,1,866900000,12,15,901,4/5,125000,2,1,111119,fcVB
77,NTksMTAw,10.27,-114,35099,t,2020-04-14 20:55:05.229,1,866900000,12,15,901,4/5,125000,0,1,111114,nSzI
78,NTYsMTAw,7.38,-91.5,35099,t,2020-04-14 20:55:05.628,1,866900000,12,15,901,4/5,125000,1,1,111114,jfGE
79,NTUsMTAw,10.72,-69.7,35099,t,2020-04-14 20:55:06.638,1,866900000,12,15,901,4/5,125000,2,1,111115,jfGE
80,NTAsMTAw,8.65,-43.8,35099,t,2020-04-14 20:55:06.726,1,866900000,12,15,901,4/5,125000,0,1,111112,dGjc
81,NTgsMTAw,10.67,-44.9,35099,t,2020-04-14 20:55:11.61,1,866900000,12,15,901,4/5,125000,1,1,111116,dGjc
82,NTksMTAw,11.21,-108.4,35099,t,2020-04-14 20:55:12.414,1,866900000,12,15,901,4/5,125000,2,1,111115,dGjc
83,NTIsMTAw,9.2,-66.2,35099,t,2020-04-14 20:55:16.73,1,866900000,12,15,901,4/5,125000,3,1,111119,dGjc
84,NTYsMTAw,9.82,-97.7,35099,t,2020-04-14 20:55:17.213,1,866900000,12,15,901,4/5,125000,0,1,111114,EFFr
85,MTQ4LDEwMA==,7.91,-54,34968,t,2020-04-14 20:55:19.784,1,866900000,12,15,1032,4/5,125000,0,1,111113,0Rl6
86,MTQ4LDEwMA==,7.73,-87.6,34968,t,2020-04-14 20:55:22.589,1,866900000,12,15,1032,4/5,125000,1,1,111118,0Rl6
87,NTgsMTAw,9.31,-63.7,35099,t,2020-04-14 20:55:23.103,1,866900000,12,15,901,4/5,125000,0,1,111117,KsGK
88,NTUsMTAw,7.78,-73,35099,t,2020-04-14 20:55:26.819,1,866900000,12,15,901,4/5,125000,0,1,111111,hVBI
89,NTIsMTAw,8.76,-48.9,35099,t,2020-04-14 20:55:27.373,1,866900000,12,15,901,4/5,125000,1,1,111112,hVBI
90,NTksMTAw,6.79,-94.7,35099,t,2020-04-14 20:55:28.317,1,866900000,12,15,901,4/5,125000,0,1,111117,q4jB
91,NTQsMTAw,10.59,-100.4,35099,t,2020-04-14 20:55:32.73,1,866900000,12,15,901,4/5,125000,0,1,111117,t1Az
