id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
45,"",[],34509,t,f,t,2020-04-14 20:54:06.222,866900000,12,15,901,4/5,125000,111117,pAEx
46,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:06.447,866900000,12,15,901,4/5,125000,111119,lXJx
47,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:54:07.272,866900000,12,15,1032,4/5,125000,111119,pAEx
48,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:07.402,866900000,12,15,901,4/5,125000,111120,En0f
49,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:07.948,866900000,12,14,901,4/5,125000,111111,Yfz9
50,"","[{""sf"":8,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:11.703,866900000,12,15,901,4/5,125000,111117,jYTt
51,"",[],34509,t,f,t,2020-04-14 20:54:13.697,866900000,12,15,901,4/5,125000,111113,yNLs
52,"","[{""sf"":8,""power"":10,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:13.869,866900000,12,15,901,4/5,125000,111118,jYTt
53,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:54:14.4,866900000,12,15,1032,4/5,125000,111118,0XJI
54,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:18.275,866900000,12,14,901,4/5,125000,111120,Yfz9
55,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:23.283,866900000,12,15,901,4/5,125000,111117,xvVS
56,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:24.746,866900000,12,15,901,4/5,125000,111118,DPPo
57,"",[],34509,t,f,t,2020-04-14 20:54:24.883,866900000,12,15,901,4/5,125000,111116,M2oC
58,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:36.463,866900000,12,15,901,4/5,125000,111118,VOBQ
59,"","[{""sf"":11,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:37.705,866900000,12,15,901,4/5,125000,111115,5Sl2
60,"",[],34378,t,f,t,2020-04-14 20:54:40.889,866900000,12,15,1032,4/5,125000,111113,oVtg
61,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:42.228,866900000,12,15,901,4/5,125000,111114,H0y5
62,"",[],34509,t,f,t,2020-04-14 20:54:42.479,866900000,12,15,901,4/5,125000,111114,oVtg
63,"","[{""sf"":10,""power"":12,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:43.497,866900000,12,15,901,4/5,125000,111115,oVtg
64,"","[{""sf"":9,""power"":12,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:54:43.585,866900000,12,15,1032,4/5,125000,111112,vBGO
65,"",[],34509,t,f,t,2020-04-14 20:54:47.295,866900000,12,15,901,4/5,125000,111113,Gjr8
