id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,msg_group_number,ap_id,node_id
6,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:01:02.237,5,11111111,yv4j
7,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:05:58.126,6,11111111,yv4j
8,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:09:37.939,7,11111111,yv4j
9,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:13:31.648,8,11111111,yv4j
10,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:26:31.918,9,11111111,yv4j
11,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:26:41.926,0,11111111,ALBY
12,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:26:51.951,0,11111111,QUFB
13,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:27:01.871,0,11111111,ALEX
14,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:27:11.951,0,11111111,Jaro
15,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:27:32.408,10,11111111,yv4j
16,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:27:41.924,1,11111111,ALBY
17,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:27:51.973,1,11111111,QUFB
18,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:28:01.987,1,11111111,ALEX
19,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:28:12.268,1,11111111,Jaro
20,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:28:31.99,11,11111111,yv4j
21,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:28:42.033,2,11111111,ALBY
22,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:28:52.062,2,11111111,QUFB
23,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:29:02,2,11111111,ALEX
24,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:29:12.028,2,11111111,Jaro
25,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:29:32.097,12,11111111,yv4j
26,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:29:42.021,3,11111111,ALBY
27,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:29:52.067,3,11111111,QUFB
28,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:30:02.108,3,11111111,ALEX
29,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:30:12.147,3,11111111,Jaro
30,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:30:32.113,13,11111111,yv4j
31,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:30:42.145,4,11111111,ALBY
32,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:30:52.256,4,11111111,QUFB
33,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:31:02.114,4,11111111,ALEX
34,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:31:12.145,4,11111111,Jaro
35,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:31:32.123,14,11111111,yv4j
36,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:31:42.151,5,11111111,ALBY
37,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:31:52.179,5,11111111,QUFB
38,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:32:02.219,5,11111111,ALEX
39,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:32:12.249,5,11111111,Jaro
40,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:32:32.22,15,11111111,yv4j
41,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:32:42.2,6,11111111,ALBY
42,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:32:53.764,6,11111111,QUFB
43,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:33:02.372,6,11111111,ALEX
44,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:33:12.259,6,11111111,Jaro
45,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:33:32.327,16,11111111,yv4j
46,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:33:42.269,7,11111111,ALBY
47,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:33:52.303,7,11111111,QUFB
48,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:34:02.336,7,11111111,ALEX
49,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:34:12.314,7,11111111,Jaro
50,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:34:32.338,17,11111111,yv4j
51,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:34:42.375,8,11111111,ALBY
52,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:34:52.417,8,11111111,QUFB
53,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:35:02.34,8,11111111,ALEX
54,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:35:12.394,8,11111111,Jaro
55,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:35:32.445,18,11111111,yv4j
56,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:35:42.378,9,11111111,ALBY
57,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:35:52.416,9,11111111,QUFB
58,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:36:02.458,9,11111111,ALEX
59,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:36:12.487,9,11111111,Jaro
60,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:36:32.451,19,11111111,yv4j
61,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:36:42.493,10,11111111,ALBY
62,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:36:52.522,10,11111111,QUFB
63,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:37:02.463,10,11111111,ALEX
64,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:37:12.492,10,11111111,Jaro
65,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:37:32.593,20,11111111,yv4j
66,TE9SQUZJSVQ=,12.75,-67,36000,t,2020-03-28 14:37:42.497,11,11111111,ALBY
