id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,msg_group_number,ap_id,node_id
6602,MTQ1LDEwMA==,11.59,-93.2,3062,t,2020-04-10 09:56:28.239,14,111111,KmoT
6603,MTQzLDEwMA==,11.51,-91.7,3062,t,2020-04-10 09:56:38.263,14,111111,meQy
6604,MTQ2LDEwMA==,11.07,-88.9,3062,t,2020-04-10 09:56:48.317,14,111111,qNkd
6605,NTEsMTAw,10.43,-114.3,3241,t,2020-04-10 09:56:48.886,12,111111,rawO
6606,NzUsMTAw,6.87,-80.1,3241,t,2020-04-10 09:56:48.912,11,111111,Vz1w
6607,NTQsMTAw,6.97,-43.8,3241,t,2020-04-10 09:56:49.428,10,111111,p5Ni
6608,MTEzLDEwMA==,9.48,-113.4,3062,t,2020-04-10 09:56:49.457,10,111111,COGd
6609,OTYsMTAw,10.77,-43.6,3241,t,2020-04-10 09:56:49.972,10,111111,gvBd
6610,MTQzLDEwMA==,9.81,-41.6,3062,t,2020-04-10 09:56:49.998,10,111111,q3YV
6611,MTMyLDEwMA==,9.19,-56.8,3062,t,2020-04-10 09:57:00.008,10,111111,lXJx
6612,NzMsMTAw,9.35,-49.4,3241,t,2020-04-10 09:57:10.02,10,111111,yNLs
6613,MTQwLDEwMA==,8.77,-78.8,3062,t,2020-04-10 09:57:20.03,9,111111,M2oC
6614,OTQsMTAw,10.08,-76.7,3241,t,2020-04-10 09:57:30.066,8,111111,U7N3
6615,MTE0LDEwMA==,8.87,-59,3062,t,2020-04-10 09:57:40.096,8,111111,Gjr8
6616,MTM0LDEwMA==,7.82,-92,3062,t,2020-04-10 09:57:50.132,8,111111,7lH1
6617,OTksMTAw,9.37,-37.7,3241,t,2020-04-10 09:58:00.078,8,111111,D6TE
6618,OTAsMTAw,10.55,-50.6,3241,t,2020-04-10 09:58:10.11,8,111111,q4jB
6619,NTUsMTAw,11.46,-113.5,3241,t,2020-04-10 09:58:20.092,8,111111,0WFb
6620,MTQ0LDEwMA==,11.68,-67.2,3062,t,2020-04-10 09:58:21.067,8,111111,uJ5i
6621,MTQ1LDEwMA==,8.75,-92.1,3062,t,2020-04-10 09:58:21.092,8,111111,fBr9
6622,ODQsMTAw,11.64,-94.4,3241,t,2020-04-10 09:58:31.09,8,111111,ZLiV
6623,MTE2LDEwMA==,10.27,-50.8,3062,t,2020-04-10 09:58:41.089,8,111111,IcMo
6624,OTgsMTAw,6.71,-103.4,3241,t,2020-04-10 09:58:51.104,8,111111,FR2S
6625,MTE5LDEwMA==,9.91,-93.9,3062,t,2020-04-10 09:59:01.201,8,111111,uydL
6626,NjQsMTAw,8.05,-110.2,3241,t,2020-04-10 09:59:11.137,8,111111,tS1V
6627,MTM4LDEwMA==,11.65,-83.3,3062,t,2020-04-10 09:59:21.173,8,111111,3azV
6628,MTMzLDEwMA==,11.19,-93,3062,t,2020-04-10 09:59:31.2,8,111111,1sDM
