id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,ap_id,node_id
1,"",[],3207,t,f,t,2020-04-10 11:57:00.739,111111,D6TE
2,"",[],3028,t,f,t,2020-04-10 11:57:41.431,111111,IcMo
3,"",[],3207,t,f,t,2020-04-10 11:58:12.273,111111,1sDM
4,"",[],3028,t,f,t,2020-04-10 12:00:13.777,111111,qFRD
5,"",[],3028,t,f,t,2020-04-10 12:03:37.894,111111,rawO
6,"",[],3207,t,f,t,2020-04-10 12:05:38.879,111111,0WFb
7,"","[{""sf"":12,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:09:41.3,111111,35Ww
8,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:10:22.244,111111,eyXW
9,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-10 12:10:43.022,111111,4vYl
10,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:11:24.083,111111,mWD1
11,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-10 12:11:34.745,111111,OJNL
12,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:13:05.743,111111,4Lt4
13,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:14:06.58,111111,rMIT
14,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:15:27.384,111111,uwOt
15,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:15:48.156,111111,11YF
16,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:16:59.016,111111,ujxf
17,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:17:40.038,111111,q4Dm
18,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:18:20.734,111111,dq2F
19,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:19:32.558,111111,yNLs
20,"",[],3207,t,f,t,2020-04-10 12:19:34.948,111111,wu8X
21,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:21:16.044,111111,SrSH
22,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-10 12:24:48.083,111111,QlGU
23,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-10 12:28:29.087,111111,gVZl
24,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:28:49.895,111111,qBKP
25,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:28:50.451,111111,q195
26,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-10 12:28:50.492,111111,COGd
27,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:30:22.033,111111,DIRr
28,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-10 12:31:43.167,111111,RvlQ
29,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:32:54.015,111111,ch6M
30,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:33:04.884,111111,Ru1A
31,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:33:55.625,111111,VIsy
32,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-10 12:34:06.4,111111,vKsb
33,"",[],3028,t,f,t,2020-04-10 12:35:27.301,111111,0pHA
34,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-10 12:35:49.155,111111,DE3i
35,"","[{""sf"":12,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:35:50.546,111111,g7Bl
36,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:37:21.388,111111,e0f8
37,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-10 12:37:31.976,111111,ySwL
38,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-10 12:37:42.609,111111,CdSd
