CeKC,1.64,13.4,1
d67c,0.02,13.41,0
xDlL,2.66,13.45,2
JQJl,0.07,13.41,0
t67T,1.29,13.47,1
GuTb,0.12,13.44,0
NJkx,0.45,13.6,0
GQtg,0.5,13.59,0
sow7,0.05,13.61,0
DzML,1.27,13.94,1
8Jw2,1.23,13.85,1
B6Lp,0.08,13.68,0
EINI,0.11,13.69,0
9bIR,0.09,13.67,0
5Igc,0.13,13.93,0
jFLq,0.09,13.56,0
bL52,0.14,13.85,0
oLKW,1.01,13.68,0
zRMn,0.54,14.0,0
zsgT,3.26,13.96,3
drR6,0.03,13.65,0
Yfz9,5.24,14.0,5
AuCR,0.47,13.77,0
Etvg,0.08,13.61,0
qIMe,0.0,13.5,0
6xvv,0.62,13.59,0
ZXfI,0.09,13.53,2
LPcK,0.1,14.02,0
OmKR,0.21,13.65,0
gOKH,0.06,13.69,0
rHx7,0.01,14.01,0
K3H8,0.05,13.86,0
zIrt,0.16,13.74,0
d8gC,0.16,13.71,0
VMGR,0.01,13.79,0
CIV5,0.29,13.72,0
DPPo,0.04,13.99,0
mfCh,0.42,13.75,0
n2eL,0.2,13.75,0
TP8O,0.2,13.87,0
BciX,0.59,13.83,0
Q34O,0.05,13.89,1
4UgF,2.15,13.45,4
GVHs,0.7,13.89,0
GOYF,1.32,13.76,1
YhNe,0.0,13.83,0
5J5y,0.03,13.88,0
t1ir,0.46,13.76,0
7wPG,2.07,14.02,2
UaIp,0.03,13.9,0
pGfX,0.01,13.81,0
5Sl2,0.21,13.99,0
gtOv,0.03,13.71,0
TWFP,0.27,13.64,0
CIZa,0.1,13.81,0
Coc5,0.09,14.0,0
NuYt,0.0,13.91,1
W9Jy,0.09,13.62,0
pAEx,3.36,14.0,3
gfq2,0.03,13.92,0
3KQz,0.08,13.77,0
VUFE,0.14,13.46,0
donZ,0.1,13.52,0
M6Mr,2.79,13.92,2
7sxE,0.01,13.88,0
HW9h,0.03,13.56,0
wpmv,0.22,13.96,0
rdBy,0.35,13.79,0
BaJH,0.01,13.48,0
G5yk,0.26,13.91,0
LyPP,0.02,13.73,0
fcVB,0.15,13.98,1
Otno,0.66,13.53,0
lAQy,0.24,13.55,0
kQAA,0.02,13.8,0
4i6f,1.67,13.57,1
4FQu,0.06,13.5,0
hwfO,0.03,13.9,1
