id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,msg_group_number,ap_id,node_id
53189,MTEzLDEwMA==,6.82,-40.6,1175,t,2020-04-12 14:58:59.043,52,111111,vKsb
53190,MTI5LDEwMA==,10.95,-35.8,1175,t,2020-04-12 15:00:11.689,47,111111,ydoi
53191,NjEsMTAw,8.57,-39.2,1375,t,2020-04-12 15:00:21.696,52,111111,FkJ2
53192,MTM5LDEwMA==,11.28,-107.8,1175,t,2020-04-12 15:00:31.809,49,111111,GJeC
53193,ODQsMTAw,8.23,-109.1,1375,t,2020-04-12 15:00:41.703,52,111111,jh6S
53194,NTYsMTAw,7.06,-95.4,1375,t,2020-04-12 15:00:51.722,49,111111,aKMV
53195,MTAyLDEwMA==,7.73,-112.9,1175,t,2020-04-12 15:01:02.329,49,111111,XWSU
53196,MTM2LDEwMA==,11.17,-67.3,1175,t,2020-04-12 15:01:12.338,41,111111,9PJf
53197,MTE2LDEwMA==,11.45,-74.6,1175,t,2020-04-12 15:01:22.347,51,111111,Db9A
53198,MTA0LDEwMA==,7.52,-88,1175,t,2020-04-12 15:01:32.356,54,111111,aIkj
53199,NTMsMTAw,9.71,-54.9,1375,t,2020-04-12 15:01:42.363,42,111111,1baP
53200,MTQyLDEwMA==,8.57,-53.3,1175,t,2020-04-12 15:01:52.95,46,111111,VB5G
53201,NTUsMTAw,8.4,-46.7,1375,t,2020-04-12 15:02:02.964,54,111111,DIRr
53202,MTI0LDEwMA==,8.11,-60.2,1175,t,2020-04-12 15:02:13.555,53,111111,58IS
53203,MTQ0LDEwMA==,7.1,-103.1,1175,t,2020-04-12 15:02:23.56,52,111111,LF5e
53204,MTE3LDEwMA==,6.84,-77.5,1175,t,2020-04-12 15:02:33.572,50,111111,Z3br
53205,MTQyLDEwMA==,7.38,-36.9,1175,t,2020-04-12 15:02:43.591,52,111111,IzCt
53206,MTQ4LDEwMA==,10.5,-88.4,1175,t,2020-04-12 15:02:53.59,46,111111,fOGR
53207,NjMsMTAw,11.03,-79.2,1375,t,2020-04-12 15:03:04.186,54,111111,fZsx
53208,MTEzLDEwMA==,7.63,-54,1175,t,2020-04-12 15:03:14.192,51,111111,wu8X
53209,NjYsMTAw,11.3,-62,1375,t,2020-04-12 15:03:24.207,53,111111,RvlQ
53210,MTMwLDEwMA==,9.1,-54.7,1175,t,2020-04-12 15:03:34.203,49,111111,Diou
53211,NjQsMTAw,8.98,-59.2,1375,t,2020-04-12 15:03:44.219,49,111111,w8XD
53212,NjIsMTAw,6.95,-65,1375,t,2020-04-12 15:03:54.233,58,111111,MiMg
53213,NjgsMTAw,9.22,-104.6,1375,t,2020-04-12 15:04:04.236,53,111111,CMkA
53214,NzQsMTAw,10.5,-81.3,1375,t,2020-04-12 15:04:14.261,50,111111,fToX
53215,MTEyLDEwMA==,11.46,-77,1175,t,2020-04-12 15:04:24.252,51,111111,Z2mD
53216,MTQ3LDEwMA==,10.74,-91,1175,t,2020-04-12 15:04:34.27,53,111111,uPMk
53217,MTAyLDEwMA==,10.04,-69,1175,t,2020-04-12 15:04:44.87,56,111111,FSEV
53218,NjgsMTAw,7.73,-87.7,1375,t,2020-04-12 15:04:54.879,45,111111,kRLS
53219,NzUsMTAw,7.93,-78.9,1375,t,2020-04-12 15:05:04.892,54,111111,c9cC
53220,ODMsMTAw,6.54,-95.7,1375,t,2020-04-12 15:05:14.9,53,111111,BdgQ
53221,ODIsMTAw,10.76,-48.6,1375,t,2020-04-12 15:05:26.341,51,111111,DSdJ
53222,MTEyLDEwMA==,10.58,-43.7,1175,t,2020-04-12 15:05:37.07,51,111111,EUJx
53223,NzMsMTAw,6.59,-109.9,1375,t,2020-04-12 15:05:44.919,53,111111,IVHS
53224,MTE4LDEwMA==,8.05,-86.8,1175,t,2020-04-12 15:05:54.928,51,111111,3cKG
53225,OTgsMTAw,7.92,-66.6,1375,t,2020-04-12 15:06:04.947,51,111111,giC3
53226,NzEsMTAw,8,-41.6,1375,t,2020-04-12 15:06:14.965,46,111111,dRnx
53227,OTUsMTAw,11.24,-94.8,1375,t,2020-04-12 15:06:24.959,51,111111,SjKz
53228,MTAxLDEwMA==,8.09,-53.1,1175,t,2020-04-12 15:06:35.064,54,111111,s8Zc
53229,NTgsMTAw,11.62,-87,1375,t,2020-04-12 15:06:44.984,47,111111,ulC7
53230,NjgsMTAw,8.22,-84,1375,t,2020-04-12 15:06:55.572,46,111111,0TsX
53231,NjYsMTAw,7.62,-84,1375,t,2020-04-12 15:07:05.581,52,111111,KWoS
53232,NzIsMTAw,11.61,-61.1,32975,t,2020-04-12 15:07:22.45,47,111111,guB6
53233,ODQsMTAw,6.7,-86.8,32975,t,2020-04-12 15:07:32.46,52,111111,BbJ6
53234,MTQ5LDEwMA==,9.19,-78.9,31975,t,2020-04-12 15:07:42.471,54,111111,f0LU
53235,MTEzLDEwMA==,6.53,-90.2,31975,t,2020-04-12 15:07:53.078,51,111111,y90Y
53236,OTcsMTAw,7.04,-86.2,32975,t,2020-04-12 15:08:03.087,49,111111,g7Bl
53237,MTM0LDEwMA==,7.33,-102.7,31975,t,2020-04-12 15:08:13.089,50,111111,jRkx
53238,ODgsMTAw,6.57,-113.3,32975,t,2020-04-12 15:08:23.113,43,111111,RdtA
53239,MTQxLDEwMA==,10.73,-51.9,31975,t,2020-04-12 15:08:33.115,49,111111,6Chv
53240,MTA1LDEwMA==,8.55,-46.2,31975,t,2020-04-12 15:08:43.13,55,111111,tmy7
53241,NjgsMTAw,8.6,-58.4,32975,t,2020-04-12 15:08:53.129,51,111111,ZmAu
53242,MTMwLDEwMA==,7.21,-48.9,31975,t,2020-04-12 15:09:03.137,54,111111,3Aqi
53243,MTM5LDEwMA==,9.9,-81.6,31975,t,2020-04-12 15:09:13.144,54,111111,sJRD
53244,MTExLDEwMA==,11.5,-86.1,31975,t,2020-04-12 15:09:23.151,46,111111,7gfV
53245,MTQwLDEwMA==,9.45,-102.4,31975,t,2020-04-12 15:09:33.162,52,111111,N27W
53246,NTMsMTAw,11.56,-64.4,32975,t,2020-04-12 15:09:43.174,46,111111,ujxf
53247,ODcsMTAw,8.92,-91.6,32975,t,2020-04-12 15:09:53.762,57,111111,FSEV
53248,MTMzLDEwMA==,8.61,-36.3,31975,t,2020-04-12 15:10:03.77,54,111111,ONeQ
53249,MTIzLDEwMA==,8.53,-112.6,31975,t,2020-04-12 15:10:13.775,47,111111,FeGc
53250,NzUsMTAw,9.98,-94.8,32975,t,2020-04-12 15:10:23.785,52,111111,jjiQ
53251,MTQ3LDEwMA==,11.65,-113.4,31975,t,2020-04-12 15:10:33.799,64,111111,fBr9
53252,MTMzLDEwMA==,11.58,-61.3,31975,t,2020-04-12 15:10:44.41,52,111111,btjb
53253,MTQ0LDEwMA==,7.41,-107.9,31975,t,2020-04-12 15:10:55.268,54,111111,1pCx
53254,MTMxLDEwMA==,9.15,-50.9,31975,t,2020-04-12 15:11:04.637,84,111111,qNkd
53255,OTMsMTAw,8.86,-96.2,32975,t,2020-04-12 15:11:14.603,52,111111,P0c7
53256,ODYsMTAw,8.81,-65.2,32975,t,2020-04-12 15:11:24.443,46,111111,NH9d
53257,MTA1LDEwMA==,8.1,-105.5,31975,t,2020-04-12 15:11:34.452,46,111111,8E0U
53258,MTE3LDEwMA==,7.53,-102.3,31975,t,2020-04-12 15:11:44.477,51,111111,vYiR
53259,NTIsMTAw,8.55,-98.4,32975,t,2020-04-12 15:11:54.473,45,111111,gVZl
53260,MTI1LDEwMA==,6.6,-59,31975,t,2020-04-12 15:12:05.066,54,111111,JFCe
53261,MTM5LDEwMA==,8.64,-109.5,31975,t,2020-04-12 15:12:15.07,53,111111,WRXV
53262,NTMsMTAw,8.63,-39.8,32975,t,2020-04-12 15:12:25.103,51,111111,SMmK
53263,ODUsMTAw,10.86,-44.1,32975,t,2020-04-12 15:12:35.69,56,111111,Ssxg
53264,NzIsMTAw,9.86,-40.8,32975,t,2020-04-12 15:12:45.726,52,111111,QSCN
53265,ODYsMTAw,11.42,-53.5,32975,t,2020-04-12 15:12:55.702,47,111111,5roy
53266,MTAwLDEwMA==,9.61,-46.7,31975,t,2020-04-12 15:13:00.124,92,222222,KmoT
53267,MTA1LDEwMA==,7.3,-107.3,31975,t,2020-04-12 15:13:05.326,93,333333,KmoT
53268,ODIsMTAw,7.3,-41.8,32975,t,2020-04-12 15:13:05.719,51,111111,u16j
53269,ODIsMTAw,11.44,-106.9,32975,t,2020-04-12 15:13:10.125,88,222222,meQy
53270,NjMsMTAw,10.06,-73.6,32975,t,2020-04-12 15:13:15.336,89,333333,meQy
53271,NjQsMTAw,9.5,-79.1,32975,t,2020-04-12 15:13:15.727,49,111111,dG2G
53272,ODgsMTAw,7.09,-66.4,32975,t,2020-04-12 15:13:20.282,85,222222,qNkd
53273,MTAwLDEwMA==,9.52,-114.1,31975,t,2020-04-12 15:13:25.35,86,333333,qNkd
53274,NTcsMTAw,10.8,-63.9,32975,t,2020-04-12 15:13:25.746,43,111111,g8Tz
53275,MTI4LDEwMA==,10.56,-78.8,31975,t,2020-04-12 15:13:30.139,80,222222,rawO
53276,MTMzLDEwMA==,8.71,-86.5,31975,t,2020-04-12 15:13:35.354,81,333333,rawO
53277,NzcsMTAw,10.24,-55.9,32975,t,2020-04-12 15:13:36.365,50,111111,NW3e
53278,NjUsMTAw,10.95,-105.2,32975,t,2020-04-12 15:13:40.152,76,222222,Vz1w
53279,MTMyLDEwMA==,6.58,-114.2,31975,t,2020-04-12 15:13:45.365,77,333333,Vz1w
53280,MTE2LDEwMA==,7.4,-71.2,31975,t,2020-04-12 15:13:46.344,46,111111,rNKn
53281,MTIzLDEwMA==,11.4,-79.9,31975,t,2020-04-12 15:13:50.156,72,222222,p5Ni
53282,MTM5LDEwMA==,7.17,-48.4,31975,t,2020-04-12 15:13:55.373,73,333333,p5Ni
53283,MTQzLDEwMA==,11.12,-51.2,31975,t,2020-04-12 15:13:56.353,47,111111,Azpd
53284,MTI2LDEwMA==,11.65,-45.6,31975,t,2020-04-12 15:14:00.163,73,222222,COGd
53285,MTEwLDEwMA==,10.76,-101,31975,t,2020-04-12 15:14:05.383,74,333333,COGd
53286,NjcsMTAw,10.43,-108,32975,t,2020-04-12 15:14:06.377,45,111111,2DeF
53287,MTE0LDEwMA==,7.27,-114.3,31975,t,2020-04-12 15:14:10.176,72,222222,gvBd
53288,MTQyLDEwMA==,9.6,-78.1,31975,t,2020-04-12 15:14:15.393,73,333333,gvBd
53289,MTE3LDEwMA==,7.23,-107.5,31975,t,2020-04-12 15:14:16.373,50,111111,GUCy
53290,ODksMTAw,9.83,-64.8,32975,t,2020-04-12 15:14:20.206,71,222222,q3YV
53291,NTksMTAw,6.7,-101.9,32975,t,2020-04-12 15:14:25.404,72,333333,q3YV
53292,NTQsMTAw,10.12,-102.9,32975,t,2020-04-12 15:14:26.38,54,111111,iaoH
53293,MTAxLDEwMA==,7.7,-59,31975,t,2020-04-12 15:14:30.197,73,222222,lXJx
53294,OTksMTAw,7.19,-103.6,32975,t,2020-04-12 15:14:35.998,74,333333,lXJx
53295,MTQzLDEwMA==,9.81,-82.7,31975,t,2020-04-12 15:14:36.96,47,111111,rrzx
53296,NjQsMTAw,8.12,-89.7,32975,t,2020-04-12 15:14:40.204,73,222222,yNLs
53297,NjIsMTAw,6.75,-94.4,32975,t,2020-04-12 15:14:46.005,74,333333,yNLs
