id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,ap_id,node_id
6940,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",1321,t,f,t,2020-04-12 15:00:51.745,111111,aKMV
6941,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",1321,t,f,t,2020-04-12 15:01:42.373,111111,1baP
6942,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",1321,t,f,t,2020-04-12 15:02:02.974,111111,DIRr
6943,"",[],1141,t,f,t,2020-04-12 15:02:53.597,111111,fOGR
6944,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",1121,t,f,t,2020-04-12 15:04:34.28,111111,uPMk
6945,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",1321,t,f,t,2020-04-12 15:06:44.995,111111,ulC7
6946,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:07:42.481,111111,f0LU
6947,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:09:43.183,111111,ujxf
6948,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:10:33.809,111111,fBr9
6950,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:12:25.113,111111,SMmK
6951,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:13:25.755,111111,g8Tz
6952,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:14:25.413,333333,q3YV
6953,"",[],32941,t,f,t,2020-04-12 15:14:26.387,111111,iaoH
6954,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:14:56.987,111111,KWoS
6955,"",[],32941,t,f,t,2020-04-12 15:15:00.224,222222,U7N3
6956,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:15:27.611,111111,t8on
6957,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:15:30.827,222222,D6TE
6958,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:15:38.201,111111,Db41
6959,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:16:01.437,222222,uJ5i
6960,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:16:26.107,333333,ZLiV
6961,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:16:42.976,222222,FR2S
6962,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:16:46.802,333333,FR2S
6963,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:16:48.844,111111,8zy9
6964,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:16:53.585,222222,uydL
6965,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:16:57.395,333333,uydL
6966,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:17:19.465,111111,TCnm
6967,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:17:30.93,111111,cQQI
6968,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:17:38.012,333333,FEwg
6969,"",[],32941,t,f,t,2020-04-12 15:18:18.621,333333,ZsxG
6970,"",[],32941,t,f,t,2020-04-12 15:19:24.308,222222,q4Dm
6971,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:19:29.261,333333,q4Dm
6972,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:20:31.928,111111,cX1q
6973,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:21:04.973,222222,MiMg
6974,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:21:29.941,333333,Tg0Q
6975,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:21:35.58,222222,Jx78
6976,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:21:56.174,222222,5NjV
6977,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:22:06.974,222222,XPyW
6978,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:22:13.355,111111,oDOC
6979,"",[],31941,t,f,t,2020-04-12 15:22:54.048,111111,fToX
6980,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:23:29.62,444444,COGd
6981,"",[],32941,t,f,t,2020-04-12 15:23:40.657,333333,rMIT
6982,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:23:47.675,222222,StzA
6983,"",[],31941,t,f,t,2020-04-12 15:24:00.218,444444,lXJx
6984,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:24:18.289,222222,DBuU
6985,"",[],32941,t,f,t,2020-04-12 15:24:29.813,555555,gvBd
6986,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:24:34.721,111111,3vF6
6987,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:24:38.882,222222,ydm3
6988,"",[],32941,t,f,t,2020-04-12 15:25:11.335,333333,wj5T
6989,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:25:15.355,111111,gNBx
6990,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:25:40.92,444444,fBr9
6991,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:25:41.946,333333,7jw5
6992,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:26:02.541,333333,beWP
6993,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:26:11.457,555555,0WFb
6994,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:26:22.597,555555,uJ5i
6995,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:26:23.146,333333,Wv62
6996,"","[{""sf"":7,""power"":8,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:26:33.202,555555,fBr9
6997,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:26:40.545,555555,ZLiV
6998,"",[],32941,t,f,t,2020-04-12 15:26:41.567,444444,3azV
6999,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:27:06.035,111111,x3MX
7000,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:27:13.853,555555,uydL
7001,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:27:16.626,111111,qVqH
7002,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:27:23.796,333333,F6Qc
7003,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:27:27.223,111111,Fner
7004,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:27:29.614,222222,yO4A
7005,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:27:35.527,555555,3azV
7006,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:27:41.587,555555,1sDM
7007,"","[{""sf"":8,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:28:07.842,111111,qi4R
7008,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:28:10.237,222222,q195
7009,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:28:12.213,555555,Vt4R
7010,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:28:14.497,333333,q195
7011,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:28:16.146,555555,Vt4R
7012,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:28:32.813,555555,ZsxG
7013,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:28:40.869,222222,MtzP
7014,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:29:16.778,555555,jLFz
7015,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",32921,t,f,t,2020-04-12 15:29:32.302,444444,EoMu
7016,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",31921,t,f,t,2020-04-12 15:29:38.503,111111,UVjx
