id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
45,OTksMTAw,11.68,-81.7,35960,t,2020-04-13 12:37:32.426,866100000,7,11,40,4/5,125000,0,1,111111,SjKz
46,ODMsMTAw,6.57,-41.6,35960,t,2020-04-13 12:37:42.449,866100000,7,11,40,4/5,125000,0,1,111111,bvjd
47,OTEsMTAw,9.42,-110.6,35960,t,2020-04-13 12:37:52.44,866100000,7,11,40,4/5,125000,0,1,111111,V1em
48,MTQwLDEwMA==,6.64,-93.1,35954,t,2020-04-13 12:38:02.461,866100000,7,11,46,4/5,125000,0,1,111111,nMK8
49,NTIsMTAw,8.31,-98.9,35960,t,2020-04-13 12:38:12.483,866900000,7,14,40,4/5,125000,0,1,111111,RX7I
50,MTIxLDEwMA==,6.51,-40.6,35954,t,2020-04-13 12:44:07.148,866100000,7,13,46,4/5,125000,0,1,111111,vpXY
51,NzEsMTAw,10.81,-37.8,35960,t,2020-04-13 12:44:17.01,866100000,7,13,40,4/5,125000,0,1,111111,PyDg
52,OTQsMTAw,7.94,-55.8,35960,t,2020-04-13 12:44:27.003,866100000,7,13,40,4/5,125000,0,1,111111,nl95
53,MTE2LDEwMA==,9.15,-68.6,35954,t,2020-04-13 12:44:37.036,866100000,7,13,46,4/5,125000,0,1,111111,q0Ll
54,NjEsMTAw,7.89,-74.1,35960,t,2020-04-13 12:44:47.02,866100000,7,13,40,4/5,125000,0,1,111111,bT0p
55,MTAyLDEwMA==,7.66,-39.1,35954,t,2020-04-13 12:44:57.026,866100000,7,13,46,4/5,125000,0,1,111111,UZ5h
56,NTQsMTAw,6.8,-87.8,35960,t,2020-04-13 12:45:07.03,866900000,7,14,40,4/5,125000,0,1,111111,LF5e
57,OTYsMTAw,9.36,-89.8,35960,t,2020-04-13 12:45:17.665,866100000,7,14,40,4/5,125000,0,1,111111,r1Oo
58,MTE2LDEwMA==,7.91,-65.9,35954,t,2020-04-13 12:45:27.677,866100000,7,14,46,4/5,125000,0,1,111111,Mly9
59,ODksMTAw,11.27,-65,35960,t,2020-04-13 12:45:37.683,866100000,7,14,40,4/5,125000,0,1,111111,BdI0
60,MTQzLDEwMA==,10.66,-104.5,35954,t,2020-04-13 12:46:10.1,866100000,7,13,46,4/5,125000,0,1,111111,5ITv
61,MTM5LDEwMA==,10.67,-102.7,35954,t,2020-04-13 12:46:20.356,866100000,7,13,46,4/5,125000,0,1,111111,uBSj
62,MTM3LDEwMA==,11.17,-72.4,35954,t,2020-04-13 12:46:30.765,866100000,7,13,46,4/5,125000,0,1,111111,j67J
63,NTksMTAw,9.5,-101.6,35960,t,2020-04-13 12:46:40.075,866900000,7,14,40,4/5,125000,1,1,111111,Mly9
64,MTEyLDEwMA==,10.4,-47.5,35954,t,2020-04-13 12:46:50.734,866100000,7,15,46,4/5,125000,0,1,111111,DSdJ
65,MTIyLDEwMA==,8.83,-78.4,35954,t,2020-04-13 12:47:00.751,866100000,7,15,46,4/5,125000,0,1,111111,mc5V
66,MTA2LDEwMA==,11.33,-76.3,35954,t,2020-04-13 12:47:10.728,866100000,7,15,46,4/5,125000,0,1,111111,oxVC
67,MTQ0LDEwMA==,8.2,-74.6,35954,t,2020-04-13 12:47:20.738,866100000,7,15,46,4/5,125000,0,1,111111,8lS1
68,MTMxLDEwMA==,7.77,-89.6,35954,t,2020-04-13 12:47:30.742,866100000,7,15,46,4/5,125000,0,1,111111,rKwB
69,MTQ1LDEwMA==,11.3,-93,35954,t,2020-04-13 12:47:40.768,866100000,7,15,46,4/5,125000,0,1,111111,r4r7
70,OTEsMTAw,8.45,-88.1,35960,t,2020-04-13 12:47:50.76,866100000,7,15,40,4/5,125000,0,1,111111,MfcL
71,ODksMTAw,8.98,-105.2,35960,t,2020-04-13 12:48:00.791,866100000,7,15,40,4/5,125000,0,1,111111,6QLS
