id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
64607,"",[],35926,t,f,t,2020-04-17 00:00:00.591,866900000,7,15,40,4/5,125000,111118,XfoE
63483,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:37:52.883,866900000,7,15,40,4/5,125000,111114,deyL
63484,"",[],35920,t,f,t,2020-04-16 23:37:53.874,866900000,7,14,46,4/5,125000,111111,6uou
63485,"",[],35920,t,f,t,2020-04-16 23:37:54.474,866900000,7,15,46,4/5,125000,111119,Vx1n
63486,"",[],35926,t,f,t,2020-04-16 23:37:54.662,866900000,7,15,40,4/5,125000,111111,68qZ
63487,"",[],35920,t,f,t,2020-04-16 23:37:54.72,866900000,7,15,46,4/5,125000,111112,jPTf
63488,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",35900,t,f,t,2020-04-16 23:37:55.342,866900000,7,15,46,4/5,125000,111117,vOi9
63489,"",[],35926,t,f,t,2020-04-16 23:37:56.405,866900000,7,15,40,4/5,125000,111114,J6Nv
63490,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:37:57.078,866900000,7,15,40,4/5,125000,111120,ApkB
63491,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:37:57.42,866900000,7,15,40,4/5,125000,111115,Wv2M
63492,"",[],35926,t,f,t,2020-04-16 23:37:57.624,866900000,7,15,40,4/5,125000,111120,qGZj
63493,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:37:59.135,866900000,7,15,40,4/5,125000,111120,3xy8
63494,"",[],35926,t,f,t,2020-04-16 23:37:59.641,866900000,7,15,40,4/5,125000,111116,gJRJ
63495,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:01.138,866900000,7,15,40,4/5,125000,111119,GsKX
63496,"",[],35920,t,f,t,2020-04-16 23:38:01.602,866900000,7,15,46,4/5,125000,111114,UA1b
63497,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:01.804,866900000,7,15,40,4/5,125000,111118,gkpG
63498,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:02.122,866900000,7,15,40,4/5,125000,111112,ojde
63499,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:03.237,866900000,7,15,40,4/5,125000,111116,tkPr
63500,"",[],35920,t,f,t,2020-04-16 23:38:03.49,866900000,7,15,46,4/5,125000,111114,lGU1
63501,"",[],35926,t,f,t,2020-04-16 23:38:03.555,866900000,7,15,40,4/5,125000,111111,Kq3U
63502,"",[],35920,t,f,t,2020-04-16 23:38:05.33,866900000,7,15,46,4/5,125000,111112,xawQ
63503,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:05.43,866900000,7,15,40,4/5,125000,111116,vyKi
63504,"",[],35920,t,f,t,2020-04-16 23:38:06.06,866900000,7,15,46,4/5,125000,111117,JmpM
63505,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35900,t,f,t,2020-04-16 23:38:06.211,866900000,7,15,46,4/5,125000,111111,Upzx
63506,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:08.035,866900000,7,15,40,4/5,125000,111115,HuTt
63507,"",[],35920,t,f,t,2020-04-16 23:38:09.756,866900000,7,15,46,4/5,125000,111120,kOqD
63508,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:10.256,866900000,7,15,40,4/5,125000,111116,cpHJ
63509,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:10.491,866900000,7,15,40,4/5,125000,111114,TMh3
63510,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",35900,t,f,t,2020-04-16 23:38:11.743,866900000,7,15,46,4/5,125000,111119,uGjk
63511,"","[{""sf"":7,""power"":8,""type"":""NORMAL""}]",35900,t,f,t,2020-04-16 23:38:11.88,866900000,7,15,46,4/5,125000,111117,VM2e
63512,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:12.112,866900000,7,14,40,4/5,125000,111117,vZ1r
63513,"",[],35926,t,f,t,2020-04-16 23:38:15.292,866900000,7,15,40,4/5,125000,111111,oDOC
63514,"",[],35926,t,f,t,2020-04-16 23:38:18.859,866900000,7,15,40,4/5,125000,111119,VgZi
63515,"",[],35926,t,f,t,2020-04-16 23:38:20.717,866900000,7,15,40,4/5,125000,111118,CAKN
63516,"","[{""sf"":9,""power"":12,""type"":""NORMAL""}]",35906,t,f,t,2020-04-16 23:38:21.106,866900000,7,15,40,4/5,125000,111114,AIGd
63517,"",[],35926,t,f,t,2020-04-16 23:38:22.509,866900000,7,15,40,4/5,125000,111117,zIrt
63518,"",[],35920,t,f,t,2020-04-16 23:38:22.747,866900000,7,15,46,4/5,125000,111112,r1xk
