id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,msg_group_number,ap_id,node_id
1916,NTEsMTAw,10.33,-43.9,3600,t,2020-04-07 08:45:46.046,331,111111,yv4j
1917,NTgsMTAw,7.97,-110.3,3600,t,2020-04-07 08:45:46.164,155,111111,J4r0
1918,MTI0LDEwMA==,8.32,-79,3600,t,2020-04-07 08:45:46.196,155,111111,D4n0
1919,NTksMTAw,11.64,-75.3,3600,t,2020-04-07 08:45:46.206,318,111111,ALEX
1920,NzQsMTAw,11.05,-81.3,3600,t,2020-04-07 08:45:46.232,317,111111,Jaro
1921,ODAsMTAw,10.67,-35.3,3600,t,2020-04-07 08:45:46.241,319,111111,QUFB
1922,MTM1LDEwMA==,8.42,-106.8,3600,t,2020-04-07 08:45:46.25,320,111111,ALBY
1923,MTEwLDEwMA==,6.82,-69.1,3600,t,2020-04-07 08:45:51.111,332,111111,yv4j
1924,MTA4LDEwMA==,10.88,-83.3,3600,t,2020-04-07 08:45:51.12,321,111111,ALBY
1925,NTIsMTAw,9.77,-94.8,3600,t,2020-04-07 08:45:51.132,318,111111,Jaro
1926,MTQ5LDEwMA==,7.59,-45.7,3600,t,2020-04-07 08:45:51.165,319,111111,ALEX
1927,NTIsMTAw,8.97,-107.5,3600,t,2020-04-07 08:45:51.191,320,111111,QUFB
1928,NTAsMTAw,8.68,-82.1,3600,t,2020-04-07 08:45:51.208,156,111111,J4r0
1929,MTQzLDEwMA==,7.5,-112.4,3600,t,2020-04-07 08:45:51.224,156,111111,D4n0
1930,MTEwLDEwMA==,9.16,-47.8,3600,t,2020-04-07 08:45:56.846,333,111111,yv4j
1931,ODAsMTAw,6.99,-77.2,3600,t,2020-04-07 08:45:56.863,322,111111,ALBY
1932,NjYsMTAw,8,-75.5,3600,t,2020-04-07 08:45:56.872,320,111111,ALEX
1933,ODcsMTAw,11.13,-44.9,3600,t,2020-04-07 08:45:56.879,319,111111,Jaro
1934,MTQ2LDEwMA==,8,-36.5,3600,t,2020-04-07 08:45:56.887,321,111111,QUFB
1935,NjAsMTAw,7.23,-62.3,3600,t,2020-04-07 08:45:56.91,157,111111,J4r0
1936,OTMsMTAw,10.11,-77.2,3600,t,2020-04-07 08:45:56.917,157,111111,D4n0
1937,ODUsMTAw,11.62,-106.3,3600,t,2020-04-07 08:46:01.869,334,111111,yv4j
