dev_id,active_time,uptime,collisions
AV9T,1.87,3782.17,1
7dbm,86.49,965.11,4
oZ1G,3826.96,1249.99,16
OBzA,3.38,3787.47,0
n587,619.89,1536.05,1
TYuc,2381.58,3789.85,0
t6Jj,23.56,1550.86,8
ZFT1,8309.56,3792.49,10
YAqX,1.99,3795.16,0
CdR8,1059.88,1975.91,8
JJ5v,17.73,3797.8,0
ThRf,621.52,2108.27,10
3HGr,586.95,3800.46,1
pgTv,1040.58,2260.64,17
2nF8,59.67,2277.83,6
Pqcc,130.24,1393.05,0
kVSC,16.95,2391.17,15
t9Pw,108.1,1678.46,14
uYKe,644.28,2135.23,12
Kxx0,1197.73,1963.47,14
WnT2,1122.8,2247.9,14
ypkK,21.36,2105.62,19
wnek,617.7,2250.78,11
tQzv,3461.23,1693.27,22
h2mo,3378.24,1818.76,10
E8Jy,43.02,2678.67,10
unvb,1109.31,2393.82,12
dj9u,568.76,2696.13,12
wOhK,540.88,2406.25,18
iIwH,3776.64,2711.19,16
YfFw,604.06,2726.28,15
cDyf,2792.69,2534.45,7
HRYD,2195.44,2403.6,23
hRh5,35.2,2818.84,13
MMqX,1046.71,2546.9,20
ZZyo,524.04,2848.99,14
U6P7,2138.38,2861.68,17
2kjX,52.49,2544.22,17
uDUH,1042.4,2854.01,12
2yEH,1083.79,2821.49,8
FenE,31.81,2896.53,1
l5JJ,47.55,2701.15,10
KdK0,29.02,2947.8,4
34zE,2204.18,2729.07,11
sidY,1055.58,2962.6,15
Q32Z,5880.4,2691.1,16
iuI4,29.03,2980.05,14
ks3E,29.02,2942.78,16
vEVu,539.88,2838.94,20
9k34,1019.19,3003.06,15
6aNN,2131.28,2859.03,14
d9Gj,523.45,2992.74,12
jqq4,2053.8,2990.1,21
Kkow,547.64,3005.71,8
BRLN,540.0,3013.1,8
oTRM,1031.81,3074.56,2
uiDF,23.05,3040.05,5
trXC,522.82,3124.86,17
BTwD,519.43,3140.73,11
hY0x,515.96,3180.28,5
C26U,534.37,3102.12,14
H9SV,22.42,3138.08,7
tFEH,15.81,3229.6,14
VdQg,29.78,2959.96,0
RqZz,18.4,3214.71,2
N62d,21.34,3117.19,19
jdUV,505.9,3257.39,19
G7WD,512.4,3132.8,14
Hld4,14.39,3232.25,2
9Si6,1570.33,2975.03,18
2yDo,12.21,3283.33,9
Y7fe,1014.35,3155.54,5
fXod,11.34,3298.41,3
d1rA,25.02,3163.24,1
UESP,988.75,3280.68,20
cH1r,521.52,3185.31,2
SBvL,491.8,3373.79,5
0ZYr,14.4,3249.99,9
8WKz,13.87,3288.35,9
vr2d,493.79,3389.14,23
pTYD,13.79,3242.31,10
iZQV,10.98,3381.47,3
uj4A,13.09,3262.68,20
Jctp,997.16,3158.18,6
ygo4,14.52,3291.01,1
nyED,15.4,3234.89,2
JgTa,16.06,3305.84,2
O6P5,6.97,3415.08,16
Io9W,988.04,3278.04,20
vym2,9.54,3433.59,3
rUmN,11.74,3300.79,2
9Jo7,10.04,3438.88,0
0kWR,11.76,3357.84,6
wFsG,6.5,3464.64,0
hx1x,10.36,3365.24,8
8DIr,491.33,3391.79,9
Xmde,1010.76,3086.78,9
fQYC,8.85,3502.28,3
TJLh,10.93,3409.77,13
60Bg,4.99,3533.19,17
UfDH,6.7,3520.57,0
W4Pl,12.97,3412.44,19
gBzh,6.18,3436.24,3
usRf,5.3,3548.83,19
k0Rf,497.41,3338.21,5
ObSV,4.59,3564.73,19
FOD3,8.97,3386.49,15
aZ2i,4.59,3575.05,9
U5PC,6.57,3479.74,2
Ry2Z,5.66,3582.72,11
NNUa,8.96,3456.94,0
Ayve,3.48,3607.93,9
pbiG,5.72,3504.92,2
Z4ce,4.34,3605.29,3
GSkH,5.62,3515.26,9
bGvL,2.88,3653.72,7
ccgy,7.46,3528.15,9
v6Bp,3.05,3656.37,14
c1K8,5.09,3530.53,23
OF3i,9.65,3469.93,3
CAAi,6.21,3540.85,13
mqtC,5.9,3517.91,1
ZlTW,6.18,3551.48,29
stuS,6.36,3535.83,4
Bgfb,3.72,3580.35,7
jgQL,2.93,3585.37,3
X556,480.88,3587.75,1
fFhu,3.6,3613.23,0
ILQE,5.42,3543.5,0
im7T,4.6,3618.25,3
jSMt,6.14,3538.21,5
VX5C,4.59,3554.13,19
n5WB,1.55,3666.43,6
Wtdw,2.49,3646.32,5
Efv5,2.11,3651.08,11
z56q,1.93,3719.74,2
GkmL,2028.07,3732.97,0
jqiW,1.76,3661.67,1
9mFn,676.54,3738.28,1
83Dn,1.8,3659.02,2
F3LY,2.54,3740.92,0
wsdC,50.75,3743.57,0
YNAX,4.08,3698.59,19
ImUx,2885.85,3730.33,2
wWwR,4.37,3722.39,2
BlXG,1.47,3695.94,27
tWeT,2.31,3717.1,7
hCAG,7.68,3367.88,8
QzjY,140.24,3772.13,0
3H7H,2015.74,3119.84,23
lJqk,11.41,3570.02,18
3mFZ,166.7,3779.53,0
HBsW,22.48,3769.48,0
o8VO,12.61,3092.08,0
3vs5,15.12,3244.96,12
KK5G,8.24,3417.73,13
wIcc,496.98,3340.86,3
tDMD,1020.25,3114.55,25
BsAg,3384.96,2556.95,16
gi71,9.94,3449.22,0
9Y8Q,3.89,3620.9,0
FUX0,6.26,3546.19,15
Hn3M,2072.3,2985.08,17
Ab3e,992.05,3275.39,26
w3X0,4.11,3592.8,0
Cv34,10.48,3399.46,0
WLhc,3130.16,2869.08,21
wlo0,1339.55,1833.57,14
ydeY,2.5,3643.68,1
yV7j,10.36,3467.29,9
91UD,1.74,3725.04,8
tUHX,1.85,3774.77,0
b70u,9.01,3423.01,11
UMDM,3.24,3597.85,0
u25R,497.98,3265.06,16
Pjqk,6.63,3509.94,1
wcgf,9.28,3420.37,9
6kmN,567.4,2833.92,19
53C5,16.28,3323.12,4
IiNx,988.36,3272.74,20
evXD,1771.79,3754.15,3
tGqW,2.03,3706.53,28
ITLU,1027.33,2995.39,15
086M,518.01,2801.93,4
jGl4,6.47,3482.38,2
5Z0m,362.85,3756.53,0
EAjO,1.91,3664.05,0
fCQP,4.38,3610.58,5
GocA,485.59,3512.59,13
voyI,4.61,3559.43,20
nCUY,1094.9,2559.6,2
HSHm,1853.42,3727.68,1
mpBK,3.94,2531.79,10
M7Gr,25.07,2998.04,0
KJGF,3.2,3600.23,0
TIWJ,562.76,2871.73,9
Q4RH,20.69,3099.48,0
fsaF,619.77,2564.63,1
4WgY,41.99,3764.46,0
RMvF,17.14,3247.61,12
NiVu,535.64,3089.43,5
xQnz,5.52,3556.78,10
McfY,1063.81,2574.81,7
unJE,1.83,3784.83,0
obHG,8.25,3462.0,0
WLhq,493.93,3371.15,12
2OEP,8.59,3444.17,0
7Zf6,1147.88,1978.55,6
wRG2,14.76,3267.71,0
lp7i,541.42,2577.46,5
NMzZ,558.58,2676.04,18
34BL,4.15,3735.63,0
LnZq,21.16,3069.51,2
sGcI,16.43,3310.9,0
NXxB,1.91,3761.81,0
LteR,523.36,3800.47,3
Qd4Z,520.8,3148.14,9
64vR,2.92,3623.54,3
BByP,15.59,3751.5,0
ZS3Z,9.62,3567.37,20
6slG,1709.87,1993.1,12
iopG,9.27,3430.95,0
7yPX,70.59,2231.26,3
pjdQ,20.79,3800.47,0
jWyd,10.76,3325.76,3
Ze6t,16.71,3333.16,0
sgOs,494.83,3394.44,12
d8hO,31.21,2718.88,14
R8cO,101.65,1966.12,3
aOEX,10.86,3402.1,29
Zz7y,6.16,2688.45,31
f6Bb,2244.64,2118.05,14
r2b3,5.22,3489.81,0
AvIk,5.81,3562.09,11
8tai,2.01,3685.16,18
ibXC,11.81,3425.66,16
Tcwk,1063.15,2716.23,13
kp74,2141.35,2843.97,20
EoRl,66.11,2282.87,13
XSrv,3.51,3577.7,19
2mY4,3.17,3748.86,0
TOxm,2.64,3777.16,0
HEqG,8.54,3454.3,0
s7AI,503.92,3260.04,1
IAuG,2.19,3669.09,0
ppam,1.96,3682.38,16
zhnh,42.07,2913.84,0
s5Mv,1.99,3709.17,17
Ax6e,494.93,3270.36,23
7azr,3.57,3767.11,0
cbsZ,2.4,3633.63,0
yL5H,9.0,3404.75,17
aP6H,516.74,3135.45,1
RAeb,97.39,1821.42,12
9ZiA,3.15,3626.19,2
euVS,185.17,3746.21,0
i8kE,52.07,2770.6,0
260u,2739.95,2659.13,13
bneQ,494.01,3376.44,3
1S5D,20.42,2972.39,20
eqtZ,4358.12,2831.27,37
OHdb,29.8,2569.76,17
rnG2,6.18,3407.13,7
oeJi,6.66,3497.21,0
StAv,33.63,2120.7,14
qpZV,68.12,2263.3,20
8Bbd,2.03,3674.38,12
ytzT,3.16,3701.24,20
zTBG,1.94,3677.03,4
rygh,32.59,2899.19,4
oAWC,9.11,3441.53,0
pvmT,1676.35,2753.59,5
lqCs,672.51,1565.41,4
8soO,4095.9,2426.02,19
tXqi,2.29,3714.46,9
AWec,37.31,2706.17,22
hGIv,1.85,3679.68,10
Nlm3,27.92,2787.3,1
h6Kv,223.91,3759.17,0
8Tbc,56.68,1690.62,5
uW80,3.0,3711.81,13
43Ip,1135.88,2374.27,5
abWx,512.45,3130.15,1
AHjm,1.6,3671.73,1
mZf5,16.27,3182.67,0
3M7Q,2.7,3703.88,22
obro,2.37,3693.3,13
urCI,1.66,3688.01,27
yvm0,1584.64,3054.94,4
roGu,1055.36,2514.88,12
LuCh,1159.3,1548.22,13
lTpX,1.42,3690.66,28
Pqa9,2710.35,1407.86,15
Fkub,10.45,3428.31,12
8g2S,1021.84,1405.21,7
Q1fo,73.28,2421.0,17
GDH8,23.82,3015.75,1
eX5x,1005.52,3197.54,4
T2vq,16.39,3217.37,3
