id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
90075,"",[],1978,t,f,t,2020-04-17 20:51:25.591,866900000,12,15,1032,4/5,125000,111119,0ype
88705,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:28:58.382,866900000,7,15,40,4/5,125000,111116,CAI4
88706,"",[],35788,t,f,t,2020-04-17 08:28:59.966,866900000,7,15,46,4/5,125000,111115,UALX
88707,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35486,t,f,t,2020-04-17 08:29:00.594,866900000,7,15,40,4/5,125000,111114,JbU4
88708,"",[],35794,t,f,t,2020-04-17 08:29:02.201,866900000,7,15,40,4/5,125000,111115,E82E
88709,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",35768,t,f,t,2020-04-17 08:29:02.293,866900000,7,15,46,4/5,125000,111117,3x2n
88710,"",[],35794,t,f,t,2020-04-17 08:29:02.579,866900000,7,15,46,4/5,125000,111117,gfOb
88711,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:29:03.011,866900000,7,15,40,4/5,125000,111117,6nrn
88712,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:29:03.182,866900000,7,15,46,4/5,125000,111117,s1hp
88713,"",[],35788,t,f,t,2020-04-17 08:29:04.305,866900000,7,15,46,4/5,125000,111118,tmgQ
88714,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:29:06.031,866900000,7,15,46,4/5,125000,111112,Khm7
88715,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:29:07.46,866900000,7,15,40,4/5,125000,111116,DfWl
88716,"",[],35800,t,f,t,2020-04-17 08:29:08.674,866900000,7,15,46,4/5,125000,111118,16GC
88717,"",[],35800,t,f,t,2020-04-17 08:29:09.012,866900000,7,15,40,4/5,125000,111116,TNQG
88718,"",[],35794,t,f,t,2020-04-17 08:29:12.48,866900000,7,15,40,4/5,125000,111116,w54f
88719,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:29:14.515,866900000,7,15,40,4/5,125000,111111,wWCL
88720,"",[],35788,t,f,t,2020-04-17 08:29:14.593,866900000,7,15,46,4/5,125000,111114,CZaT
88721,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",35548,t,f,t,2020-04-17 08:29:15.654,866900000,7,15,46,4/5,125000,111112,GhGj
88722,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",35768,t,f,t,2020-04-17 08:29:16.626,866900000,7,15,46,4/5,125000,111119,X4DN
88723,"",[],35782,t,f,t,2020-04-17 08:29:18.073,866900000,7,15,46,4/5,125000,111120,Vr93
88724,"",[],35794,t,f,t,2020-04-17 08:29:19.643,866900000,7,15,46,4/5,125000,111116,xqzf
88725,"",[],35782,t,f,t,2020-04-17 08:29:21.52,866900000,7,15,46,4/5,125000,111114,Z3br
88726,"",[],35806,t,f,t,2020-04-17 08:29:22.388,866900000,7,15,40,4/5,125000,111114,qWAd
88727,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:29:26.249,866900000,7,15,40,4/5,125000,111114,giZc
88728,"",[],35806,t,f,t,2020-04-17 08:29:26.327,866900000,7,15,40,4/5,125000,111112,UNTR
88729,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:29:26.775,866900000,7,15,40,4/5,125000,111112,jUDj
88730,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:29:29.647,866900000,7,15,46,4/5,125000,111116,tOMc
88731,"",[],35794,t,f,t,2020-04-17 08:29:29.987,866900000,7,15,46,4/5,125000,111120,LWTs
88732,"",[],35788,t,f,t,2020-04-17 08:29:30.393,866900000,7,15,40,4/5,125000,111119,Q2hk
88733,"",[],35800,t,f,t,2020-04-17 08:29:30.61,866900000,7,15,40,4/5,125000,111115,S0QC
88734,"",[],35800,t,f,t,2020-04-17 08:29:32.139,866900000,7,15,46,4/5,125000,111114,CMkA
88735,"",[],35794,t,f,t,2020-04-17 08:29:33.176,866900000,7,15,40,4/5,125000,111111,7wPG
88736,"",[],35782,t,f,t,2020-04-17 08:29:34.131,866900000,7,15,46,4/5,125000,111119,69iE
88737,"",[],35794,t,f,t,2020-04-17 08:29:35.131,866900000,7,14,40,4/5,125000,111111,7Isl
88738,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:29:35.31,866900000,7,15,40,4/5,125000,111114,BsZQ
88739,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:29:37.791,866900000,7,15,40,4/5,125000,111116,KZ3P
88740,"",[],35794,t,f,t,2020-04-17 08:29:41.029,866900000,7,15,46,4/5,125000,111119,FEwg
88741,"",[],35794,t,f,t,2020-04-17 08:29:42.864,866900000,7,15,46,4/5,125000,111115,7z4X
88742,"","[{""sf"":8,""power"":13,""type"":""NORMAL""}]",35768,t,f,t,2020-04-17 08:29:43.869,866900000,7,15,40,4/5,125000,111117,PLt2
88743,"",[],35794,t,f,t,2020-04-17 08:29:48.954,866900000,7,15,40,4/5,125000,111117,rt9z
88744,"",[],35794,t,f,t,2020-04-17 08:29:49.587,866900000,7,15,40,4/5,125000,111118,RVYZ
88745,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:29:51.074,866900000,7,14,40,4/5,125000,111111,TWGL
88746,"",[],35800,t,f,t,2020-04-17 08:29:52.777,866900000,7,15,40,4/5,125000,111114,1cLx
88747,"",[],35788,t,f,t,2020-04-17 08:29:53.024,866900000,7,15,40,4/5,125000,111114,iwgk
88748,"",[],35788,t,f,t,2020-04-17 08:29:53.138,866900000,7,15,46,4/5,125000,111116,4HEX
88749,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35768,t,f,t,2020-04-17 08:29:53.485,866900000,7,15,46,4/5,125000,111116,gsEZ
88750,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:29:53.578,866900000,7,15,40,4/5,125000,111115,RBZX
88751,"",[],35788,t,f,t,2020-04-17 08:29:55.775,866900000,7,15,40,4/5,125000,111111,RR58
88752,"",[],35794,t,f,t,2020-04-17 08:29:55.842,866900000,7,15,40,4/5,125000,111116,tmy7
88753,"",[],35806,t,f,t,2020-04-17 08:29:56.423,866900000,7,15,40,4/5,125000,111119,ImGN
88754,"",[],35800,t,f,t,2020-04-17 08:29:57.419,866900000,7,15,40,4/5,125000,111112,JFu1
88755,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35696,t,f,t,2020-04-17 08:29:58.044,866900000,7,15,46,4/5,125000,111115,pM3P
88756,"",[],35800,t,f,t,2020-04-17 08:30:01.047,866900000,7,15,46,4/5,125000,111120,A5AS
88757,"",[],35806,t,f,t,2020-04-17 08:30:01.661,866900000,7,15,40,4/5,125000,111119,4QkP
88758,"",[],35788,t,f,t,2020-04-17 08:30:02.235,866900000,7,15,40,4/5,125000,111117,EINI
88759,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:30:02.895,866900000,7,15,40,4/5,125000,111115,9uoF
88760,"",[],35800,t,f,t,2020-04-17 08:30:03.644,866900000,7,15,40,4/5,125000,111114,pGfe
88761,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:30:04.511,866900000,7,15,40,4/5,125000,111117,9XOQ
88762,"",[],35800,t,f,t,2020-04-17 08:30:06.707,866900000,7,15,40,4/5,125000,111112,WLG5
88763,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:30:07.32,866900000,7,15,40,4/5,125000,111118,9sdr
88764,"",[],35788,t,f,t,2020-04-17 08:30:08.181,866900000,7,14,40,4/5,125000,111113,FkHi
88765,"","[{""sf"":7,""power"":8,""type"":""NORMAL""}]",35732,t,f,t,2020-04-17 08:30:10.36,866900000,7,14,46,4/5,125000,111120,6ugQ
88766,"",[],35806,t,f,t,2020-04-17 08:30:10.67,866900000,7,15,40,4/5,125000,111120,AwvM
88767,"",[],35800,t,f,t,2020-04-17 08:30:12.822,866900000,7,15,40,4/5,125000,111113,gxM1
88768,"",[],35788,t,f,t,2020-04-17 08:30:12.896,866900000,7,15,46,4/5,125000,111117,V9mN
88769,"",[],35800,t,f,t,2020-04-17 08:30:13.823,866900000,7,15,40,4/5,125000,111111,Qpl5
88770,"",[],35800,t,f,t,2020-04-17 08:30:14.983,866900000,7,15,40,4/5,125000,111118,tD1C
88771,"",[],35800,t,f,t,2020-04-17 08:30:16.938,866900000,7,15,40,4/5,125000,111111,DBmI
88772,"","[{""sf"":7,""power"":8,""type"":""NORMAL""}]",35667,t,f,t,2020-04-17 08:30:21.359,866900000,7,15,40,4/5,125000,111120,C22v
88773,"","[{""sf"":7,""power"":8,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:30:23.703,866900000,7,15,40,4/5,125000,111117,CmD9
88774,"",[],35800,t,f,t,2020-04-17 08:30:25.608,866900000,7,15,40,4/5,125000,111118,IZ9M
88775,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",35774,t,f,t,2020-04-17 08:30:27.973,866900000,7,14,40,4/5,125000,111118,Rm4N
88776,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:30:32.021,866900000,7,15,40,4/5,125000,111111,kn4k
88777,"",[],35800,t,f,t,2020-04-17 08:30:33.284,866900000,7,15,40,4/5,125000,111117,UDoQ
88778,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",35768,t,f,t,2020-04-17 08:30:33.453,866900000,7,15,46,4/5,125000,111113,oHLN
88779,"",[],35794,t,f,t,2020-04-17 08:30:34.475,866900000,7,15,40,4/5,125000,111111,T2KK
90408,"",[],2109,t,f,t,2020-04-17 20:57:19.926,866900000,12,15,901,4/5,125000,111118,Qke1
88780,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:30:34.968,866900000,7,15,40,4/5,125000,111119,t4cb
88781,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",35768,t,f,t,2020-04-17 08:30:35.569,866900000,7,14,40,4/5,125000,111118,e490
88782,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",35780,t,f,t,2020-04-17 08:30:35.828,866900000,7,15,46,4/5,125000,111112,UeKX
