id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,msg_group_number,ap_id,node_id
16827,MTM5LDEwMA==,8.11,-64.4,3062,t,2020-04-11 00:00:00.108,9,333333,p7NC
16828,MTE0LDEwMA==,8.81,-95.5,3062,t,2020-04-11 00:00:00.278,13,444444,CAKN
16829,MTAxLDEwMA==,10.74,-49.5,3062,t,2020-04-11 00:00:00.809,9,222222,2iDN
16830,MTQ5LDEwMA==,7.35,-69.6,3062,t,2020-04-11 00:00:01.042,13,555555,oqRm
16831,MTIzLDEwMA==,8.33,-81.3,3062,t,2020-04-11 00:00:01.379,9,666666,Z9Sf
16832,NjcsMTAw,11.6,-114.1,3241,t,2020-04-11 00:00:01.634,16,777777,HobG
16833,MTA3LDEwMA==,8.77,-86.5,3062,t,2020-04-11 00:00:03.779,5,000000,0mBe
16834,OTUsMTAw,10.54,-40.5,3241,t,2020-04-11 00:00:04.405,10,111111,2iDN
16835,MTQ0LDEwMA==,6.99,-60.2,3062,t,2020-04-11 00:00:04.563,9,999999,vGVa
16836,NTksMTAw,8.37,-87.5,3241,t,2020-04-11 00:00:06.199,17,888888,HobG
16837,NjAsMTAw,10.69,-113.2,3241,t,2020-04-11 00:00:10.038,25,333333,EoMu
16838,NzEsMTAw,8.62,-86,3241,t,2020-04-11 00:00:10.337,15,444444,oxVC
16839,NjQsMTAw,11.2,-60.2,3241,t,2020-04-11 00:00:10.847,12,222222,SuDT
16840,MTI5LDEwMA==,10.31,-77.5,3062,t,2020-04-11 00:00:11.111,19,666666,mOCQ
16841,MTAwLDEwMA==,7.76,-71.2,3062,t,2020-04-11 00:00:11.67,15,777777,HAuL
16842,NzIsMTAw,9.64,-85.3,3241,t,2020-04-11 00:00:11.826,15,555555,yGXH
16843,OTksMTAw,8.53,-45.2,3241,t,2020-04-11 00:00:13.822,20,000000,l4Do
16844,ODQsMTAw,6.97,-63.5,3241,t,2020-04-11 00:00:14.317,13,111111,SuDT
16845,NTksMTAw,8.48,-75.4,3241,t,2020-04-11 00:00:14.57,11,999999,2iDN
16846,NTYsMTAw,8.55,-40,3241,t,2020-04-11 00:00:17.195,16,888888,HAuL
16847,ODQsMTAw,11.65,-65.8,3241,t,2020-04-11 00:00:20.062,8,333333,WBxG
16848,MTIzLDEwMA==,11.12,-109.6,3062,t,2020-04-11 00:00:20.366,11,444444,m6kV
16849,NjYsMTAw,9.53,-92.9,3241,t,2020-04-11 00:00:20.796,12,222222,btjb
16850,NzIsMTAw,9.75,-69.7,3241,t,2020-04-11 00:00:21.192,6,666666,VOeM
16851,MTMyLDEwMA==,9.21,-79,3062,t,2020-04-11 00:00:21.613,14,777777,UVjx
16852,OTYsMTAw,10.22,-65.4,3241,t,2020-04-11 00:00:21.745,13,555555,5WRf
16853,NzcsMTAw,11.61,-80.2,3241,t,2020-04-11 00:00:23.851,18,000000,UBEJ
16854,MTQ3LDEwMA==,10.49,-64.7,3062,t,2020-04-11 00:00:24.361,13,111111,btjb
16855,ODgsMTAw,8.17,-69.8,3241,t,2020-04-11 00:00:25.152,20,999999,x3MX
16856,MTM0LDEwMA==,10.88,-101.6,3062,t,2020-04-11 00:00:28.047,15,888888,UVjx
16857,ODMsMTAw,10.86,-63.8,3241,t,2020-04-11 00:00:30.134,19,333333,OwCd
16858,MTMyLDEwMA==,6.98,-59.7,3062,t,2020-04-11 00:00:30.311,13,444444,UiiZ
16859,MTAzLDEwMA==,9.29,-68.4,3062,t,2020-04-11 00:00:30.82,11,222222,eSIx
16860,ODMsMTAw,9.7,-67.1,3241,t,2020-04-11 00:00:31.194,18,666666,jh6S
16861,OTQsMTAw,10.56,-61.9,3241,t,2020-04-11 00:00:31.634,18,777777,CMkA
16862,NjAsMTAw,7.71,-88.5,3241,t,2020-04-11 00:00:31.754,14,555555,Ocqa
16863,ODAsMTAw,8.45,-100.1,3241,t,2020-04-11 00:00:33.801,44,000000,rawO
16864,OTEsMTAw,6.76,-83.6,3241,t,2020-04-11 00:00:35.232,12,111111,eSIx
16865,MTE4LDEwMA==,6.98,-109.1,3062,t,2020-04-11 00:00:35.308,9,999999,7OIr
16866,OTMsMTAw,11.18,-93.4,3241,t,2020-04-11 00:00:38.145,19,888888,CMkA
16867,MTM5LDEwMA==,11.71,-99.5,3062,t,2020-04-11 00:00:40.067,8,333333,Q6I1
16868,ODEsMTAw,6.71,-54.5,3241,t,2020-04-11 00:00:40.327,13,444444,ct5n
16869,MTA2LDEwMA==,9.68,-109,3062,t,2020-04-11 00:00:40.8,9,222222,bBS2
16870,NjEsMTAw,9.69,-93.9,3241,t,2020-04-11 00:00:41.161,6,666666,etNM
16871,ODYsMTAw,11.59,-55.7,3241,t,2020-04-11 00:00:41.67,16,777777,s0Lv
16872,MTQ0LDEwMA==,7.61,-74.7,3062,t,2020-04-11 00:00:41.764,14,555555,CAKN
16873,OTUsMTAw,9.2,-84,3241,t,2020-04-11 00:00:43.915,8,000000,ulC7
16874,ODQsMTAw,7.06,-74.5,3241,t,2020-04-11 00:00:45.15,10,111111,bBS2
16875,ODgsMTAw,7.73,-77.7,3241,t,2020-04-11 00:00:45.181,10,999999,Pg5x
16876,OTEsMTAw,11.44,-41.8,3241,t,2020-04-11 00:00:48.016,17,888888,s0Lv
16877,MTEwLDEwMA==,10.28,-48.8,3062,t,2020-04-11 00:00:50.198,15,333333,nXzc
16878,MTEwLDEwMA==,7.04,-71.3,3062,t,2020-04-11 00:00:50.331,13,444444,IhVP
