id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,ap_id,node_id
1571,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:06:21.871,000000,xoZa
1572,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:06:28.211,111111,jQ1u
1573,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:06:42.643,888888,MtzK
1574,"","[{""sf"":12,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:07:04.753,666666,2DeF
1575,"","[{""sf"":11,""power"":13,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:07:13.683,999999,F6Qc
1576,"","[{""sf"":12,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:07:22.852,222222,tXhC
1577,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:07:35.483,555555,6Ta3
1578,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:07:36.662,999999,bT0p
1579,"",[],3207,t,f,t,2020-04-11 00:07:43.23,000000,dOAs
1580,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:07:46.16,333333,tt7b
1581,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:07:47.298,999999,5WRf
1582,"",[],3207,t,f,t,2020-04-11 00:07:53.579,222222,1VyA
1583,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:07:53.817,000000,X5AB
1584,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:08:13.616,888888,8j6V
1585,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:08:34.379,888888,yW3T
1586,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:08:34.441,000000,d26m
1587,"","[{""sf"":8,""power"":12,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:08:45.132,000000,7S7e
1588,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:08:46.992,333333,6QLS
1589,"","[{""sf"":12,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:08:47.412,777777,xI1p
1590,"",[],3207,t,f,t,2020-04-11 00:08:49.131,111111,cQQI
1591,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:08:55.078,888888,xI1p
1592,"",[],3207,t,f,t,2020-04-11 00:08:59.878,111111,7SiR
1593,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:09:05.736,666666,kqki
1594,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:09:15.746,888888,u16j
1595,"",[],3028,t,f,t,2020-04-11 00:09:26.441,888888,du5m
1596,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:09:37.65,333333,xGaO
1597,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:09:38.08,777777,xOMT
1598,"",[],3207,t,f,t,2020-04-11 00:09:45.745,444444,blt7
1599,"",[],3207,t,f,t,2020-04-11 00:09:45.797,000000,MiMg
1600,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:09:57.109,888888,jQ1u
1601,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:09:58.081,999999,D6TE
1602,"","[{""sf"":9,""power"":13,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:10:04.515,222222,tlFe
1603,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:10:08.277,333333,OhBP
